Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of cellular response to hypoxia (GO:1900038)	3/6	0.0022241766503380937	1.0	0	0	10.0	61.08368476639271	DDAH1;NOL3;CD34
synapsis (GO:0007129)	5/20	0.0025567961648583323	1.0	0	0	5.0	29.845001511853148	MAJIN;TERB2;RNF212B;SYCP2;HORMAD1
positive regulation of striated muscle contraction (GO:0045989)	3/7	0.0037478971295969244	1.0	0	0	8.571428571428571	47.88480310052898	CHGA;GSTO1;ATP2A1
intermediate filament organization (GO:0045109)	4/14	0.004155574183572428	1.0	0	0	5.7142857142857135	31.333169538457483	DNAJB6;PKP1;KLHL24;KRT20
positive regulation of macrophage differentiation (GO:0045651)	3/8	0.005774732022768516	1.0	0	0	7.5	38.65697569976054	CASP8;CSF1;RIPK1
membrane lipid catabolic process (GO:0046466)	3/8	0.005774732022768516	1.0	0	0	7.5	38.65697569976054	SGPL1;MGST2;SMPDL3B
regulation of cellular response to heat (GO:1900034)	10/79	0.005875948156848395	1.0	0	0	2.5316455696202533	13.004779350819986	NUP214;NDC1;HSP90AB1;DNAJB6;HSPA1L;BAG1;CD34;IER5;NUP58;ATR
regulation of actin filament polymerization (GO:0030833)	9/69	0.007208107374922264	1.0	0	0	2.6086956521739126	12.8675187708397	HCK;KANK1;CTTN;LMOD1;RAC2;CDC42EP2;HIP1R;RHOH;ARHGAP18
toll-like receptor 3 signaling pathway (GO:0034138)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	CASP8;RIPK1;TICAM1
establishment of spindle localization (GO:0051293)	3/10	0.011479073193892965	1.0	0	0	5.999999999999999	26.803377741534163	ESPL1;MAP4;LLGL2
negative regulation of inclusion body assembly (GO:0090084)	3/10	0.011479073193892965	1.0	0	0	5.999999999999999	26.803377741534163	DNAJB2;DNAJB6;DNAJA4
regulation of translational initiation (GO:0006446)	8/63	0.012855695577887951	1.0	0	0	2.5396825396825395	11.057697346558735	EIF2B5;EIF5B;PPP1R15B;KHDRBS1;EIF2B2;HABP4;EIF1B;EIF4B
regulation of ATPase activity (GO:0043462)	6/41	0.01547935582050457	1.0	0	0	2.9268292682926824	12.19975031809441	DNAJB2;SLN;ATPIF1;VCPKMT;ATP1B3;ALDOB
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	5/30	0.01555659746473132	1.0	0	0	3.333333333333333	13.877568186921728	IKBKB;CASP8;UBE2D2;RIPK1;TICAM1
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	5/31	0.017804675725432068	1.0	0	0	3.225806451612903	12.994497338628113	IKBKB;CASP8;UBE2D2;RIPK1;TICAM1
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	12/122	0.019131430017225507	1.0	0	0	1.9672131147540983	7.783126712900586	CLEC4A;IKBKB;PSMB7;MUC1;UBE2D2;PSME3;PSMD3;ICAM3;UBE2V1;PRKACB;RELA;SKP1
viral life cycle (GO:0019058)	11/108	0.019216395842713684	1.0	0	0	2.0370370370370368	8.05035288080842	NUP214;NDC1;GRK2;HSP90AB1;HYAL2;KPNA7;CHMP3;WWP1;VPS37A;CHMP6;NUP58
regulation of inclusion body assembly (GO:0090083)	3/12	0.01953037772410442	1.0	0	0	5.0	19.678920967843133	DNAJB2;DNAJB6;DNAJA4
oligodendrocyte development (GO:0014003)	3/12	0.01953037772410442	1.0	0	0	5.0	19.678920967843133	EIF2B5;CNTNAP1;EIF2B2
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	12/125	0.022700689874322492	1.0	0	0	1.92	7.267891130913136	CLEC4A;IKBKB;PSMB7;MUC1;UBE2D2;PSME3;PSMD3;ICAM3;UBE2V1;PRKACB;RELA;SKP1
dendrite morphogenesis (GO:0048813)	5/33	0.02292040460454417	1.0	0	0	3.0303030303030303	11.441599195115412	MEF2A;MINK1;LRP4;MAP6D1;SHANK3
negative regulation of receptor activity (GO:2000272)	5/33	0.02292040460454417	1.0	0	0	3.0303030303030303	11.441599195115412	ERRFI1;GSTM2;GSTO1;HFE;CHMP6
positive regulation of protein complex disassembly (GO:0043243)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	FYCO1;SLN;BNIP3
regulation of macrophage differentiation (GO:0045649)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	CASP8;CSF1;RIPK1
response to UV-B (GO:0010224)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	STK11;HYAL2;RELA
