Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
muscle cell fate commitment (GO:0042693)	4/9	6.393918977627987E-4	1.0	0	0	8.888888888888888	65.37771549372528	TBX1;MYOG;WT1;MYOD1
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	3/7	0.0037478971295969244	1.0	0	0	8.571428571428571	47.88480310052898	IGBP1;FOXM1;FOXO1
ribosomal protein import into nucleus (GO:0006610)	3/7	0.0037478971295969244	1.0	0	0	8.571428571428571	47.88480310052898	RPL23;KPNB1;IPO4
carboxylic acid metabolic process (GO:0019752)	6/34	0.006219140103153981	1.0	0	0	3.5294117647058822	17.929848101892038	CYP4F2;CYP4F3;SLC2A3;GLYAT;CYP4F8;FTCD
negative regulation of circadian rhythm (GO:0042754)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	SFPQ;CIPC;CRY1
skeletal muscle contraction (GO:0003009)	4/18	0.010832993829611394	1.0	0	0	4.444444444444444	20.111816967158788	MYH3;TNNT1;TNNT3;TNNI3
ectoderm development (GO:0007398)	3/10	0.011479073193892965	1.0	0	0	5.999999999999999	26.803377741534163	AMER2;ITGAM;STX2
negative regulation of protein maturation (GO:1903318)	3/10	0.011479073193892965	1.0	0	0	5.999999999999999	26.803377741534163	TMEM59;SERPINE2;MAGEA3
glucocorticoid biosynthetic process (GO:0006704)	3/10	0.011479073193892965	1.0	0	0	5.999999999999999	26.803377741534163	HSD11B1;CYP11B2;CACNA1H
muscle filament sliding (GO:0030049)	6/39	0.012216841663084205	1.0	0	0	3.076923076923077	13.55366096929348	MYH2;MYH3;TPM4;TNNT1;TNNT3;TNNI3
actin-myosin filament sliding (GO:0033275)	6/39	0.012216841663084205	1.0	0	0	3.076923076923077	13.55366096929348	MYH2;MYH3;TPM4;TNNT1;TNNT3;TNNI3
membrane depolarization during action potential (GO:0086010)	6/39	0.012216841663084205	1.0	0	0	3.076923076923077	13.55366096929348	CATSPER3;SCN11A;CACNA1A;SCN5A;CACNA1H;TPCN1
positive regulation of chondrocyte differentiation (GO:0032332)	3/12	0.01953037772410442	1.0	0	0	5.0	19.678920967843133	ACVRL1;PKDCC;ZBTB16
skeletal muscle cell differentiation (GO:0035914)	3/12	0.01953037772410442	1.0	0	0	5.0	19.678920967843133	MYOG;MYOD1;LEMD2
membrane depolarization (GO:0051899)	6/44	0.021431508882189775	1.0	0	0	2.727272727272727	10.480617442273918	CATSPER3;SCN11A;CACNA1A;SCN5A;CACNA1H;TPCN1
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	3/14	0.030000982735417972	1.0	0	0	4.285714285714286	15.027964885753896	OR1D5;OR7D4;OR7A17
regulation of transferase activity (GO:0051338)	3/14	0.030000982735417972	1.0	0	0	4.285714285714286	15.027964885753896	ZYG11B;PINX1;LDB2
muscle organ development (GO:0007517)	7/61	0.03192067196399525	1.0	0	0	2.2950819672131146	7.905413175681799	TBX1;MYH3;MYOD1;COL6A3;ZBTB42;ITGB1BP2;CACNA1H
positive regulation of skeletal muscle fiber development (GO:0048743)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	MYOG;MYOD1
immunological synapse formation (GO:0001771)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CD6;CCL19
mineralocorticoid biosynthetic process (GO:0006705)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CYP11B2;CACNA1H
response to gonadotropin (GO:0034698)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	TGFBR3;WT1
renal system process involved in regulation of blood volume (GO:0001977)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CYP11B2;CYP4F2
positive regulation of action potential (GO:0045760)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	SCN5A;ADRA1A
regulation of cellular carbohydrate catabolic process (GO:0043471)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	TIGAR;PPP1R3B
