Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin filament (GO:0005884)	8/56	0.006396436021663812	1.0	0	0	2.8571428571428568	14.434326615263213	ACTA1;HCK;CAPZB;CTTN;LMOD1;RAC2;COBL;TSC1
spindle pole body (GO:0005816)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	NDC1;TUBGCP3
death-inducing signaling complex (GO:0031264)	2/8	0.05721089072209802	1.0	0	0	5.0	14.305055007400815	CASP8;RIPK1
striated muscle thin filament (GO:0005865)	3/19	0.06645795649124922	1.0	0	0	3.157894736842105	8.561639256247336	IGSF22;ACTA1;LMOD1
polymeric cytoskeletal fiber (GO:0099513)	16/222	0.09131433504669172	1.0	0	0	1.4414414414414414	3.4500144048101333	LMOD1;COBL;TSC1;KRT20;KRT75;HCK;ACTA1;KRT18;KIF18B;CTTN;CAPZB;KIF26A;TUBB3;RAC2;PKP1;MAP6D1
pericentric heterochromatin (GO:0005721)	2/12	0.1183149351744569	1.0	0	0	3.333333333333333	7.114684225538833	H2AFY;INCENP
neurotransmitter receptor complex (GO:0098878)	2/12	0.1183149351744569	1.0	0	0	3.333333333333333	7.114684225538833	SCRIB;SHANK3
lytic vacuole (GO:0000323)	13/184	0.13263453726542634	1.0	0	0	1.4130434782608694	2.854570766355111	GUSBP11;LAPTM5;CTSW;CTSS;FYCO1;HCK;AP3M1;HYAL2;RAB12;PSAP;VPS11;TMEM9;CD34
Sin3 complex (GO:0016580)	2/13	0.13537899404817505	1.0	0	0	3.076923076923077	6.1528525246417765	SIN3A;SUDS3
ficolin-1-rich granule (GO:0101002)	13/185	0.1365516381494833	1.0	0	0	1.4054054054054055	2.7982358537986616	GPI;PTPRN2;HSP90AB1;CD93;SLC2A3;CTSS;DYNC1LI1;PSMB7;COMMD9;LRG1;PSMD3;COTL1;PKP1
ionotropic glutamate receptor complex (GO:0008328)	4/40	0.1379595947094308	1.0	0	0	2.0	3.961588857315027	GRIN3A;SCRIB;CNIH2;SHANK3
intermediate filament cytoskeleton (GO:0045111)	6/72	0.15049803689681743	1.0	0	0	1.6666666666666665	3.1563420645887432	EXOSC4;KRT18;PKP1;NOL9;KRT20;KRT75
heterochromatin (GO:0000792)	4/42	0.1567023472093967	1.0	0	0	1.9047619047619047	3.5302993347271023	TOP2B;H2AFY;INCENP;TNKS1BP1
synaptonemal structure (GO:0099086)	2/15	0.17091154886530205	1.0	0	0	2.6666666666666665	4.710957638403321	RNF212B;SYCP2
trans-Golgi network transport vesicle (GO:0030140)	2/15	0.17091154886530205	1.0	0	0	2.6666666666666665	4.710957638403321	TMED9;RAB8A
Ino80 complex (GO:0031011)	2/15	0.17091154886530205	1.0	0	0	2.6666666666666665	4.710957638403321	YY1AP1;NFRKB
sarcoplasmic reticulum (GO:0016529)	3/30	0.1877155615267818	1.0	0	0	2.0	3.345654864900365	GSTM2;SLN;ATP2A1
CHD-type complex (GO:0090545)	2/16	0.18920318276808346	1.0	0	0	2.5	4.1623345006609895	MTA2;GATAD2A
Sin3-type complex (GO:0070822)	2/16	0.18920318276808346	1.0	0	0	2.5	4.1623345006609895	SIN3A;SUDS3
NuRD complex (GO:0016581)	2/16	0.18920318276808346	1.0	0	0	2.5	4.1623345006609895	MTA2;GATAD2A
ficolin-1-rich granule membrane (GO:0101003)	5/62	0.19745752815386772	1.0	0	0	1.6129032258064515	2.616502846917968	DYNC1LI1;PTPRN2;CD93;PKP1;SLC2A3
intermediate filament (GO:0005882)	4/47	0.20718336704116536	1.0	0	0	1.7021276595744679	2.679406036964871	KRT18;PKP1;KRT20;KRT75
nuclear replisome (GO:0043601)	2/17	0.20773987788556972	1.0	0	0	2.352941176470588	3.6975731035436015	CHRAC1;POLD2
BLOC-1 complex (GO:0031083)	2/17	0.20773987788556972	1.0	0	0	2.352941176470588	3.6975731035436015	STX12;KXD1
sarcoplasm (GO:0016528)	3/32	0.21379011498548872	1.0	0	0	1.875	2.8926759681127634	GSTM2;SLN;ATP2A1
recycling endosome membrane (GO:0055038)	4/48	0.21779787247025076	1.0	0	0	1.6666666666666665	2.540313061339135	HFE;RAB12;RAB8A;OPTN
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	4/48	0.21779787247025076	1.0	0	0	1.6666666666666665	2.540313061339135	TMED9;TMED3;CNIH2;YKT6
actin cytoskeleton (GO:0015629)	18/295	0.224120297657019	1.0	0	0	1.2203389830508475	1.8251052140397326	NDC1;AHNAK;LMOD1;COBL;SORBS2;TSC1;CDC42BPB;PPP1R9A;C10ORF90;IGSF22;HCK;ACTA1;CTTN;CAPZB;ARPC3;RAC2;ZNF268;LLGL2
lipid droplet (GO:0005811)	5/65	0.2245509341987312	1.0	0	0	1.5384615384615385	2.2979272602185437	CTDNEP1;HSD3B7;SCCPDH;PNPLA3;TSC1
anchored component of external side of plasma membrane (GO:0031362)	2/18	0.22645148897005046	1.0	0	0	2.222222222222222	3.3004989638462865	HYAL2;GP1BA
GABA-A receptor complex (GO:1902711)	2/19	0.24527425978553977	1.0	0	0	2.1052631578947367	2.958691088070133	GABRG3;GABRD
autophagosome membrane (GO:0000421)	2/19	0.24527425978553977	1.0	0	0	2.1052631578947367	2.958691088070133	GABARAPL3;MAP1LC3A
mitotic spindle (GO:0072686)	6/85	0.2515228769093023	1.0	0	0	1.4117647058823528	1.9485477624185077	AGBL5;NIN;KIF18B;ESPL1;MAP4;CCSAP
trans-Golgi network membrane (GO:0032588)	6/86	0.25999953625691774	1.0	0	0	1.3953488372093021	1.8796401371099152	AP1G1;STX16;TMEM79;COG2;LGR6;RAB8A
nuclear heterochromatin (GO:0005720)	2/20	0.2641503607881601	1.0	0	0	2.0	2.66247357905395	H2AFY;TNKS1BP1
AP-3 adaptor complex (GO:0030123)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	VPS33A
membrane attack complex (GO:0005579)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	C8B
paranode region of axon (GO:0033270)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	CNTNAP1
spanning component of plasma membrane (GO:0044214)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	CDHR5
sex chromosome (GO:0000803)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	H2AFY
Cul5-RING ubiquitin ligase complex (GO:0031466)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	ELOB
ficolin-1-rich granule lumen (GO:1904813)	8/124	0.28061953631387226	1.0	0	0	1.2903225806451613	1.639684503717075	GPI;PSMB7;COMMD9;HSP90AB1;LRG1;PSMD3;COTL1;CTSS
cytoplasmic dynein complex (GO:0005868)	2/21	0.28302745680273733	1.0	0	0	1.9047619047619047	2.404212124839451	DYNC1LI1;DYNLL2
lysosome (GO:0005764)	24/423	0.2900946514009683	1.0	0	0	1.1347517730496453	1.404309815730002	GUSBP11;AHNAK;ZFYVE9;STK11IP;VPS33A;LAPTM5;CTSW;CYB561A3;CTSS;AP3M1;HCK;FYCO1;GNLY;AP1G1;RAB12;HYAL2;GNB2;TMEM79;PSAP;VPS11;TMEM9;CYB561;SPG11;CD34
coated vesicle (GO:0030135)	5/72	0.2913681345785638	1.0	0	0	1.3888888888888888	1.712732977852415	TMED9;AP1G1;TMED3;HIP1R;TMED4
Golgi trans cisterna (GO:0000138)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	YIPF2
H3 histone acetyltransferase complex (GO:0070775)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	MEAF6
flotillin complex (GO:0016600)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	LRP4
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	KDM5A
messenger ribonucleoprotein complex (GO:1990124)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	PKP1
