Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitochondrial large ribosomal subunit (GO:0005762)	7/53	0.01585207885890796	1.0	0	0	2.641509433962264	10.947616001049186	MRPL30;MRPL20;MRPL51;MRPL49;MRPL36;MRPL9;MRPL45
actin filament (GO:0005884)	7/56	0.020984730458087762	1.0	0	0	2.5	9.659900566957184	CAPZB;ACTN2;WIPF2;COBL;MYO5A;IQGAP1;CORO1B
polysomal ribosome (GO:0042788)	4/29	0.05462119016329882	1.0	0	0	2.758620689655172	8.020229995291032	RPL41;RPL18A;DHX9;RPL38
SCF ubiquitin ligase complex (GO:0019005)	6/55	0.05575129370727072	1.0	0	0	2.1818181818181817	6.298591992871788	ABTB2;SPSB2;BTBD2;BTRC;SKP2;SPSB4
death-inducing signaling complex (GO:0031264)	2/8	0.05721089072209802	1.0	0	0	5.0	14.305055007400815	FAF1;RIPK1
multivesicular body (GO:0005771)	4/30	0.06063113352204076	1.0	0	0	2.6666666666666665	7.474524702251736	LRRK2;ATP13A2;PGA5;TPT1
striated muscle thin filament (GO:0005865)	3/19	0.06645795649124922	1.0	0	0	3.157894736842105	8.561639256247336	MYBPC3;MYBPC2;TMOD4
pseudopodium (GO:0031143)	2/9	0.07117333236542388	1.0	0	0	4.444444444444444	11.745053671792467	RAB25;ACTN2
filopodium tip (GO:0032433)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	MYO5A;CIB1
mitochondrial inner membrane (GO:0005743)	23/342	0.09221303724039734	1.0	0	0	1.3450292397660817	3.2060840002077606	MRS2;TIMMDC1;NDUFB10;LRRK2;MRPL49;MRPS21;MRPL36;TIMM10;EXOG;MRPL45;ATP5L;MRPL30;SLC25A38;MRPL20;SMDT1;MRPL51;HSP90B2P;SLC25A17;ALDH18A1;MRPL9;SLC25A45;SMIM20;SLC25A22
peroxisome (GO:0005777)	8/93	0.09356252018893225	1.0	0	0	1.7204301075268817	4.075914668425191	PLA2G16;HMGCL;SZT2;SLC25A17;PMVK;MYO5A;HACL1;PEX14
microbody (GO:0042579)	8/93	0.09356252018893225	1.0	0	0	1.7204301075268817	4.075914668425191	PLA2G16;HMGCL;SZT2;SLC25A17;PMVK;MYO5A;HACL1;PEX14
CD40 receptor complex (GO:0035631)	2/11	0.10185083146627981	1.0	0	0	3.6363636363636362	8.306348991662196	DIABLO;BIRC2
axonal growth cone (GO:0044295)	2/11	0.10185083146627981	1.0	0	0	3.6363636363636362	8.306348991662196	SHTN1;COBL
cytoplasmic vesicle lumen (GO:0060205)	10/130	0.11637022564102487	1.0	0	0	1.5384615384615385	3.309197799796174	CFD;HPX;BIN2;CRISPLD2;PSMD2;HYOU1;S100P;GHRL;EEF2;GIP
focal adhesion (GO:0005925)	23/357	0.12884059089513517	1.0	0	0	1.2885154061624648	2.6403991859917495	CAP1;TLE2;MAP2K2;ACTN2;PARVA;IQGAP1;PARVB;CORO1B;SLC9A1;ENAH;LIMA1;DAB2;RRAS;ITGA11;RPLP2;RPL38;HYOU1;CD59;CSPG4;MPZL1;BCAR1;EPHA2;PAK4
smooth endoplasmic reticulum (GO:0005790)	2/13	0.13537899404817505	1.0	0	0	3.076923076923077	6.1528525246417765	SYVN1;HYOU1
mitochondrial envelope (GO:0005740)	6/70	0.13686946768775143	1.0	0	0	1.7142857142857142	3.4092473107677503	COX19;HSP90B2P;DIABLO;BAX;TIMM10;PRELID3A
peroxisomal membrane (GO:0005778)	4/41	0.14721479282726987	1.0	0	0	1.951219512195122	3.7382684546071134	MAP2K2;SLC25A17;PEX14;RAB8B
contractile fiber (GO:0043292)	3/27	0.15038161447469178	1.0	0	0	2.222222222222222	4.210175820273459	ARHGEF25;TMOD4;SMTNL1
endoplasmic reticulum subcompartment (GO:0098827)	2/14	0.15294200533335325	1.0	0	0	2.8571428571428568	5.364847084446157	RAB3GAP1;RNF41
actin cytoskeleton (GO:0015629)	19/295	0.15604802559706463	1.0	0	0	1.2881355932203389	2.3928296807908533	MYBPC3;CAP1;CLIC4;MYBPC2;ACTN2;DHX9;TMOD4;WIPF2;MYO5A;COBL;PARVA;IQGAP1;PARVB;CORO1B;LIMA1;SCNN1D;CAPZB;HNRNPC;MSRB1
myofibril (GO:0030016)	3/28	0.16255339603696525	1.0	0	0	2.142857142857143	3.893033014692501	MYBPC3;ARHGEF25;TMOD4
mitochondrial intermembrane space (GO:0005758)	5/58	0.16328476821631294	1.0	0	0	1.7241379310344829	3.1245854451901107	COX19;HSP90B2P;DIABLO;TIMM10;PRELID3A
microvillus (GO:0005902)	4/43	0.16640981850387015	1.0	0	0	1.8604651162790697	3.336375343076965	CLIC4;LRRK2;CDHR5;ANKS4B
late endosome (GO:0005770)	10/141	0.16866989291733908	1.0	0	0	1.4184397163120568	2.524555702946532	VAC14;CLN3;MAP2K2;VPS11;MYO5A;CHMP3;ATP13A2;CYB561A3;RILP;TPT1
Cul2-RING ubiquitin ligase complex (GO:0031462)	2/15	0.17091154886530205	1.0	0	0	2.6666666666666665	4.710957638403321	ZSWIM8;ZSWIM5
nuclear chromosome, telomeric region (GO:0000784)	8/108	0.17280406327587397	1.0	0	0	1.4814814814814814	2.6008843089787628	TOX4;SMCHD1;FEN1;MSH2;HAT1;SIRT6;HIST1H2BB;TERF2
axon (GO:0030424)	10/142	0.17391136269914045	1.0	0	0	1.408450704225352	2.4636753793463417	SHTN1;OMP;PTPRS;LRRK2;KCNC4;SLC38A7;IGHMBP2;COBL;GHRL;IQGAP1
peroxisomal part (GO:0044439)	6/76	0.17945756311992533	1.0	0	0	1.5789473684210524	2.712341867627267	GRHPR;MAP2K2;SLC25A17;HACL1;PEX14;RAB8B
cell cortex part (GO:0044448)	4/45	0.18643368284604128	1.0	0	0	1.7777777777777777	2.98609722860718	SLC4A1;SELE;MYL12B;SPTBN2
DNA-directed RNA polymerase complex (GO:0000428)	2/16	0.18920318276808346	1.0	0	0	2.5	4.1623345006609895	POLRMT;POLR2L
endoplasmic reticulum tubular network (GO:0071782)	2/17	0.20773987788556972	1.0	0	0	2.352941176470588	3.6975731035436015	RAB3GAP1;RNF41
polysome (GO:0005844)	5/64	0.21539586226514373	1.0	0	0	1.5625	2.3988714437251204	RPL41;RPL18A;DHX9;RPL38;EIF2AK4
autophagosome (GO:0005776)	5/65	0.2245509341987312	1.0	0	0	1.5384615384615385	2.2979272602185437	CLN3;LRRK2;TBC1D14;ATP13A2;ATG12
anchored component of external side of plasma membrane (GO:0031362)	2/18	0.22645148897005046	1.0	0	0	2.222222222222222	3.3004989638462865	CD59;CD24
endocytic vesicle lumen (GO:0071682)	2/18	0.22645148897005046	1.0	0	0	2.222222222222222	3.3004989638462865	HPX;HYOU1
FACIT collagen trimer (GO:0005593)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	COL9A2
transcription factor TFIIIC complex (GO:0000127)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	GTF3C2
spanning component of plasma membrane (GO:0044214)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	CDHR5
sex chromosome (GO:0000803)	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	PCGF3
cytosolic large ribosomal subunit (GO:0022625)	5/70	0.2718688550208947	1.0	0	0	1.4285714285714284	1.860622113738027	RSL1D1;RPL41;RPL18A;RPLP2;RPL38
actin-based cell projection (GO:0098858)	5/71	0.2815854896327663	1.0	0	0	1.408450704225352	1.7849565976318464	SHTN1;CLIC4;ACTN2;LRRK2;ANKS4B
endolysosome (GO:0036019)	2/21	0.28302745680273733	1.0	0	0	1.9047619047619047	2.404212124839451	CTSK;AP2A2
pigment granule (GO:0048770)	2/21	0.28302745680273733	1.0	0	0	1.9047619047619047	2.404212124839451	GCHFR;MYO5A
melanosome (GO:0042470)	2/21	0.28302745680273733	1.0	0	0	1.9047619047619047	2.404212124839451	GCHFR;MYO5A
large ribosomal subunit (GO:0015934)	5/73	0.30120905235381457	1.0	0	0	1.36986301369863	1.6437681222088858	RSL1D1;RPL41;RPL18A;RPLP2;RPL38
insulin-responsive compartment (GO:0032593)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	MYO5A
H3 histone acetyltransferase complex (GO:0070775)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	BRPF3
multivesicular body lumen (GO:0097486)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	PGA5
multivesicular body membrane (GO:0032585)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	ATP13A2
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	HOXC10
messenger ribonucleoprotein complex (GO:1990124)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	PKP3
actin cortical patch (GO:0030479)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	WIPF2
MOZ/MORF histone acetyltransferase complex (GO:0070776)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	BRPF3
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	ATP5L
micro-ribonucleoprotein complex (GO:0035068)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	DHX9
endocytic patch (GO:0061645)	1/7	0.30170081801752857	1.0	0	0	2.8571428571428568	3.423769775600227	WIPF2
intrinsic component of external side of plasma membrane (GO:0031233)	2/22	0.30185830293267685	1.0	0	0	1.8181818181818181	2.1778137587293127	CD59;CD24
cullin-RING ubiquitin ligase complex (GO:0031461)	11/182	0.3025703217518784	1.0	0	0	1.2087912087912087	1.4450392482629573	ABTB2;SPSB2;BTBD2;ZSWIM8;KLHL12;BTRC;SKP2;KCTD5;ZSWIM5;KLHL31;SPSB4
nucleoplasm part (GO:0044451)	23/408	0.30601044111876097	1.0	0	0	1.1274509803921569	1.3350553576029847	YARS;TLE2;GTF2A2;REXO1;KMT2A;ATMIN;DHX9;TAF13;RAPH1;MRPL36;AFF3;TERF2;HOXC10;HIPK3;CLK2;PAGR1;KIF18B;DVL2;SAFB2;SAP18;S100P;POLR2L;RAB8B
elongin complex (GO:0070449)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	EPOP
autolysosome (GO:0044754)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	LRRK2
microvillus membrane (GO:0031528)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	CDHR5
RNA polymerase III transcription factor complex (GO:0090576)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	GTF3C2
Cdc73/Paf1 complex (GO:0016593)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	PAF1
commitment complex (GO:0000243)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	SNRNP35
HFE-transferrin receptor complex (GO:1990712)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	TFR2
shelterin complex (GO:0070187)	1/8	0.33662794865636386	1.0	0	0	2.5	2.721942421048515	TERF2
contractile actin filament bundle (GO:0097517)	3/41	0.3371468638537048	1.0	0	0	1.4634146341463412	1.5910780182096236	LIMA1;FHOD1;CORO1B
stress fiber (GO:0001725)	3/41	0.3371468638537048	1.0	0	0	1.4634146341463412	1.5910780182096236	LIMA1;FHOD1;CORO1B
anchored component of plasma membrane (GO:0046658)	3/41	0.3371468638537048	1.0	0	0	1.4634146341463412	1.5910780182096236	CD160;CD59;CD24
pre-autophagosomal structure (GO:0000407)	2/24	0.33921547884608483	1.0	0	0	1.6666666666666665	1.8018662378583004	ATG2A;ULK2
ribosome (GO:0005840)	5/77	0.34100404859306127	1.0	0	0	1.2987012987012985	1.397221985795033	RPL41;RPL18A;DHX9;RPL38;EIF2AK4
Golgi-associated vesicle (GO:0005798)	4/59	0.3411916398273588	1.0	0	0	1.3559322033898304	1.458048767361736	LRRK2;TMED1;KLHL12;RAB8B
perinuclear region of cytoplasm (GO:0048471)	21/379	0.3451916236966909	1.0	0	0	1.1081794195250658	1.1787212289156856	HCN4;RAB3C;CLIC4;GSDMA;MAP2K2;CCDC78;DCUN1D3;FAF1;COBL;MT1X;CIB1;ECE1;MEX3D;TPD52L1;SELE;CORO1B;RNF41;SHTN1;OSBP;S100A6;APBA3
filopodium (GO:0030175)	4/61	0.36421006738242967	1.0	0	0	1.3114754098360655	1.3246222552325246	SHTN1;ACTN2;MYO5A;CIB1
RISC-loading complex (GO:0070578)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	DHX9
RISC complex (GO:0016442)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	DDX6
endoplasmic reticulum quality control compartment (GO:0044322)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	SYVN1
ATP-binding cassette (ABC) transporter complex (GO:0043190)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	ABCA7
Swr1 complex (GO:0000812)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	ANP32E
RNAi effector complex (GO:0031332)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	DDX6
NMDA selective glutamate receptor complex (GO:0017146)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	SHANK1
cytosolic proteasome complex (GO:0031597)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	PSMD2
late endosome lumen (GO:0031906)	1/9	0.3698097706633484	1.0	0	0	2.222222222222222	2.2105923086622967	PGA5
vacuole (GO:0005773)	4/63	0.38719146599357773	1.0	0	0	1.2698412698412698	1.204871065559935	CLN3;TBC1D14;ATP13A2;ATG12
lytic vacuole membrane (GO:0098852)	13/234	0.38861009369519434	1.0	0	0	1.111111111111111	1.0501986309606262	SZT2;TMEM63A;STK11IP;ECE1;CYB561A3;MFSD12;CLN3;DAB2;VPS11;ATP13A2;ATP6V1E1;RILP;TMEM8A
clathrin-coated vesicle (GO:0030136)	6/101	0.39300017337866283	1.0	0	0	1.188118811881188	1.109637892212941	DAB2;WNT5A;DVL2;ECE1;AP2A2;RAB8B
cytoplasmic vesicle (GO:0031410)	12/216	0.3960574956046248	1.0	0	0	1.111111111111111	1.0291065414956315	RAB3C;RAB25;TFR2;LRRK2;VPS11;ANP32E;DVL2;CHMP3;RHOV;KIAA0319L;AP2A2;RHOD
myosin filament (GO:0032982)	1/10	0.40133341390034794	1.0	0	0	2.0	1.8259254820662505	MYBPC3
mitotic spindle midzone (GO:1990023)	1/10	0.40133341390034794	1.0	0	0	2.0	1.8259254820662505	KIF18B
preribosome, small subunit precursor (GO:0030688)	1/10	0.40133341390034794	1.0	0	0	2.0	1.8259254820662505	NOB1
lipid droplet (GO:0005811)	4/65	0.41006047139933866	1.0	0	0	1.2307692307692308	1.0971700171589474	EHD1;PLIN2;RAB3GAP1;PLIN5
U12-type spliceosomal complex (GO:0005689)	2/28	0.4117777723443979	1.0	0	0	1.4285714285714284	1.2675306609542623	PDCD7;SNRNP35
MLL1/2 complex (GO:0044665)	2/28	0.4117777723443979	1.0	0	0	1.4285714285714284	1.2675306609542623	KMT2A;MAX
MLL1 complex (GO:0071339)	2/28	0.4117777723443979	1.0	0	0	1.4285714285714284	1.2675306609542623	KMT2A;MAX
chromatin (GO:0000785)	16/297	0.4159661259379182	1.0	0	0	1.0774410774410774	0.9450790034426038	MBD3;SMAD2;JUND;MAX;SMARCA4;TOX4;HIST3H2A;CCND2;H2AFJ;HAT1;HIST1H1D;SMCR8;HNRNPC;EXOSC3;MIXL1;TP73
Golgi stack (GO:0005795)	2/29	0.42931633359945176	1.0	0	0	1.379310344827586	1.1662913895494167	CLN3;GOLPH3
brush border membrane (GO:0031526)	2/29	0.42931633359945176	1.0	0	0	1.379310344827586	1.1662913895494167	SLC9A3;CDHR5
cell cortex region (GO:0099738)	1/11	0.43128166280518815	1.0	0	0	1.8181818181818181	1.529079804244035	MYL12B
MLL3/4 complex (GO:0044666)	1/11	0.43128166280518815	1.0	0	0	1.8181818181818181	1.529079804244035	PAGR1
nuclear inclusion body (GO:0042405)	1/11	0.43128166280518815	1.0	0	0	1.8181818181818181	1.529079804244035	STUB1
npBAF complex (GO:0071564)	1/11	0.43128166280518815	1.0	0	0	1.8181818181818181	1.529079804244035	SMARCA4
spanning component of membrane (GO:0089717)	1/11	0.43128166280518815	1.0	0	0	1.8181818181818181	1.529079804244035	CDHR5
recycling endosome membrane (GO:0055038)	3/48	0.43306631871249	1.0	0	0	1.25	1.0460805021359667	EHD1;EHD2;RAB8B
chromosome, telomeric region (GO:0000781)	7/125	0.4348899664469206	1.0	0	0	1.1199999999999999	0.9325816982581239	TOX4;SMCHD1;FEN1;MSH2;HAT1;HIST1H2BB;TERF2
actomyosin (GO:0042641)	3/49	0.44640402063272916	1.0	0	0	1.2244897959183672	0.987588809585937	LIMA1;FHOD1;CORO1B
late endosome membrane (GO:0031902)	3/49	0.44640402063272916	1.0	0	0	1.2244897959183672	0.987588809585937	VAC14;ATP13A2;CYB561A3
sarcoplasmic reticulum (GO:0016529)	2/30	0.44657352514826887	1.0	0	0	1.3333333333333333	1.0748682963163632	SLN;CCDC78
histone methyltransferase complex (GO:0035097)	3/50	0.4596144044474325	1.0	0	0	1.2	0.9328408706750739	PAGR1;KMT2A;EPOP
nuclear exosome (RNase complex) (GO:0000176)	1/12	0.4597331726975369	1.0	0	0	1.6666666666666665	1.2951816952528152	EXOSC3
neurotransmitter receptor complex (GO:0098878)	1/12	0.4597331726975369	1.0	0	0	1.6666666666666665	1.2951816952528152	SHANK1
RNA polymerase II transcription factor complex (GO:0090575)	8/148	0.46236222561490486	1.0	0	0	1.0810810810810811	0.8339531426705211	SMAD2;GTF2A2;JUND;TFDP1;MAX;TAF13;NFYC;PBX1
endocytic vesicle (GO:0030139)	6/109	0.4646603211324838	1.0	0	0	1.1009174311926606	0.8437966596577015	HPX;VPS11;DVL2;HYOU1;AP2A2;RAB8B
clathrin-coated endocytic vesicle (GO:0045334)	3/51	0.47268752481329424	1.0	0	0	1.176470588235294	0.881553803378603	WNT5A;DVL2;AP2A2
sarcoplasm (GO:0016528)	2/32	0.4801831856912929	1.0	0	0	1.25	0.9169845137852034	SLN;CCDC78
endoribonuclease complex (GO:1902555)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	DHX9
DNA-directed RNA polymerase I complex (GO:0005736)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	POLR2L
secondary lysosome (GO:0005767)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	LRRK2
mitochondrial inner membrane presequence translocase complex (GO:0005744)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	TIMM10
clathrin coat of endocytic vesicle (GO:0030128)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	AP2A2
AP-2 adaptor complex (GO:0030122)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	AP2A2
COPII vesicle coat (GO:0030127)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	KLHL12
nuclear telomere cap complex (GO:0000783)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	TERF2
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	1/13	0.48676267554205266	1.0	0	0	1.5384615384615385	1.107659375220991	TRPC4AP
nuclear transcription factor complex (GO:0044798)	4/72	0.48826565745953704	1.0	0	0	1.111111111111111	0.7965507124555724	TFDP1;MAX;NFYC;PBX1
cortical actin cytoskeleton (GO:0030864)	3/53	0.498386049960954	1.0	0	0	1.1320754716981132	0.788355058353472	CAP1;WIPF2;SPTBN2
cortical cytoskeleton (GO:0030863)	3/53	0.498386049960954	1.0	0	0	1.1320754716981132	0.788355058353472	CAP1;SLC4A1;SELE
nuclear chromosome part (GO:0044454)	20/393	0.5004584376818922	1.0	0	0	1.0178117048346054	0.7045605346255742	MBD3;SMAD2;FEN1;JUND;MAX;DHX9;TERF2;SMARCA4;TOX4;SMCHD1;HIST3H2A;MSH2;H2AFJ;HAT1;ANP32E;HIST1H1D;NCAPD2;HNRNPC;HIST1H2BB;MIXL1
nuclear chromatin (GO:0000790)	13/254	0.5060568372713714	1.0	0	0	1.0236220472440944	0.6971954143255447	MBD3;SMAD2;JUND;DHX9;MAX;SMARCA4;HIST3H2A;H2AFJ;HAT1;ANP32E;HIST1H1D;HNRNPC;MIXL1
nuclear nucleosome (GO:0000788)	1/14	0.5124411756667415	1.0	0	0	1.4285714285714284	0.9550990767772207	HIST3H2A
integral component of peroxisomal membrane (GO:0005779)	1/14	0.5124411756667415	1.0	0	0	1.4285714285714284	0.9550990767772207	SLC25A17
microtubule plus-end (GO:0035371)	1/14	0.5124411756667415	1.0	0	0	1.4285714285714284	0.9550990767772207	KIF18B
precatalytic spliceosome (GO:0071011)	2/34	0.5125071338352726	1.0	0	0	1.176470588235294	0.7864007628092599	MAPKBP1;SNRNP35
clathrin-coated endocytic vesicle membrane (GO:0030669)	2/34	0.5125071338352726	1.0	0	0	1.176470588235294	0.7864007628092599	WNT5A;AP2A2
ER to Golgi transport vesicle membrane (GO:0012507)	3/55	0.5234350892650081	1.0	0	0	1.0909090909090908	0.706191545588209	KLHL12;CD59;CNIH2
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	5/96	0.5278178232072942	1.0	0	0	1.0416666666666667	0.6656292568931363	TMED1;CD59;CNIH2;FTCD;CNIH4
COPII-coated ER to Golgi transport vesicle (GO:0030134)	4/76	0.531017425175643	1.0	0	0	1.0526315789473684	0.666274150005563	TMED1;KLHL12;CD59;CNIH2
SWI/SNF complex (GO:0016514)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	SMARCA4
keratin filament (GO:0045095)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	TCHP
synaptonemal structure (GO:0099086)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	RNF212B
endolysosome membrane (GO:0036020)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	AP2A2
trans-Golgi network transport vesicle (GO:0030140)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	RAB8B
cytoplasmic exosome (RNase complex) (GO:0000177)	1/15	0.5368361352216328	1.0	0	0	1.3333333333333333	0.8294165061381815	EXOSC3
