Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
signal sequence binding (GO:0005048)	7/40	0.0033539251705361527	1.0	0	0	3.4999999999999996	19.941683742203896	NUP214;PEX5;KPNA6;KPNA7;TIMM22;TNPO1;NUP58
translation initiation factor activity (GO:0003743)	6/37	0.00947038015667372	1.0	0	0	3.2432432432432434	15.11217155458284	EIF2B5;EIF5B;EIF2B2;EIF3G;DENR;EIF4B
nuclear localization sequence binding (GO:0008139)	5/29	0.013506098212759996	1.0	0	0	3.4482758620689657	14.843496469201975	NUP214;KPNA6;KPNA7;TNPO1;NUP58
carboxylic acid binding (GO:0031406)	5/35	0.02890077475508324	1.0	0	0	2.8571428571428568	10.125391074539182	DDAH1;HYAL2;C1QBP;PSAP;AARS
death receptor activity (GO:0005035)	4/25	0.03399335307152362	1.0	0	0	3.1999999999999997	10.821088868398542	TNFRSF8;TNFRSF25;RELT;TNFRSF10D
tumor necrosis factor-activated receptor activity (GO:0005031)	4/25	0.03399335307152362	1.0	0	0	3.1999999999999997	10.821088868398542	TNFRSF8;TNFRSF25;RELT;TNFRSF10D
ATPase regulator activity (GO:0060590)	5/39	0.04359375073529034	1.0	0	0	2.564102564102564	8.032926847844928	DNAJB2;DNAJB6;BAG1;ATPIF1;ATP1B3
sphingosine N-acyltransferase activity (GO:0050291)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	CERS5;CERS2
aldehyde-lyase activity (GO:0016832)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	SGPL1;ALDOB
beta-galactoside (CMP) alpha-2,3-sialyltransferase activity (GO:0003836)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	ST3GAL5;ST3GAL2
kinesin binding (GO:0019894)	4/29	0.05462119016329882	1.0	0	0	2.758620689655172	8.020229995291032	ARHGEF10;KIF18B;AP1G1;MAPK8IP1
