Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
symporter activity (GO:0015293)	4/12	0.002226309736887514	1.0	0	0	6.666666666666666	40.71606593837178	SLC12A4;SLC12A5;SLC12A7;MFSD2A
zinc ion binding (GO:0008270)	26/303	0.005324811764312577	1.0	0	0	1.716171617161716	8.98480698701943	SUV39H2;BLM;KMT2A;KDM1B;UHRF1;TIMM13;CTCF;TIMM10;MEFV;CRIP1;RNF112;RXRA;CSRP1;RNPEP;POLR2L;PIAS4;NQO2;KDM4C;ZNF282;SIRT5;SIRT6;SIRT3;ATAD3C;ALPP;RGN;ADA
carboxylic ester hydrolase activity (GO:0052689)	12/104	0.005729228777616272	1.0	0	0	2.3076923076923075	11.912710040996055	PLA2G16;LIPC;PLA2G2E;RARRES3;ABHD2;PLA2G4C;PLA2G2A;RGN;TARS2;CES3;BPHL;PNPLA2
ubiquitin-specific protease binding (GO:1990381)	4/16	0.006976160030101439	1.0	0	0	5.0	24.82628326271881	PDZD3;CHMP3;RAD23A;MARCH6
potassium ion symporter activity (GO:0022820)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	SLC12A4;SLC12A5;SLC12A7
potassium:chloride symporter activity (GO:0015379)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	SLC12A4;SLC12A5;SLC12A7
cation:chloride symporter activity (GO:0015377)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	SLC12A4;SLC12A5;SLC12A7
phospholipase A2 activity (GO:0004623)	5/31	0.017804675725432068	1.0	0	0	3.225806451612903	12.994497338628113	PLA2G16;PLA2G2E;RARRES3;PLA2G2A;PLA2G4C
protein deacetylase activity (GO:0033558)	6/43	0.01929988711082831	1.0	0	0	2.7906976744186043	11.016714508655674	MBD3;SAP18;HMG20B;SIRT5;SIRT6;SIRT3
phospholipase activity (GO:0004620)	8/70	0.02314278811148851	1.0	0	0	2.2857142857142856	8.6081647443347	PLA2G16;LIPC;PLA2G2E;RARRES3;PLA2G4C;PLA2G2A;PLCG2;PLD6
purine ribonucleoside triphosphate binding (GO:0035639)	29/397	0.026931434411849885	1.0	0	0	1.4609571788413096	5.280572905010536	BRSK2;BLM;NDUFA13;CHD8;RND2;TUBB6;SEPT6;PMVK;ATP5D;ABL1;RAB28;MARK4;HRAS;RAB8A;MLKL;DAPK3;TNK1;CDC42BPB;RHOF;TUBB4A;ACLY;PFKL;RAB31;PEX6;SIK3;TRIP13;TSSK2;MYO1F;RHOQ
transition metal ion binding (GO:0046914)	29/400	0.02934368253126145	1.0	0	0	1.4499999999999997	5.11658310265405	SUV39H2;BLM;KMT2A;UHRF1;KDM1B;TIMM13;CTCF;TIMM10;MEFV;CRIP1;RNF112;RXRA;CSRP1;RNPEP;ABL1;LARGE2;POLR2L;PIAS4;NQO2;KDM4C;ZNF282;SIRT5;TET1;SIRT6;SIRT3;ATAD3C;ALPP;RGN;ADA
prostaglandin E receptor activity (GO:0004957)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	PTGER1;PTGER2
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	32/461	0.03867754563274016	1.0	0	0	1.3882863340563991	4.515395836592074	MESP1;FOXC1;TUSC1;MAZ;RAX;SIX1;ENO1;CTCF;RBPJ;PURB;RXRA;DEAF1;RUVBL2;DPF2;E2F3;JUNB;MBD3;TGIF1;RFX2;EN1;NFXL1;ARID3A;ARID3C;TFDP1;NFIB;ZNF639;NFIC;IRF7;IRF8;TCF3;HOXB7;ATF3
potassium ion transmembrane transporter activity (GO:0015079)	5/39	0.04359375073529034	1.0	0	0	2.564102564102564	8.032926847844928	SLC12A4;SLC12A5;KCNK15;KCNQ4;SLC12A7
GDP binding (GO:0019003)	6/52	0.044314159345011636	1.0	0	0	2.3076923076923075	7.19181006682854	RAB31;RAB12;RAB28;HRAS;RAB8A;RAB8B
AT DNA binding (GO:0003680)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	KMT2A;CRIP1
receptor tyrosine kinase binding (GO:0030971)	5/40	0.04785273553053826	1.0	0	0	2.5	7.599067484612446	SHC2;PITPNM3;ALKAL2;CBL;RNF41
ligand-dependent nuclear receptor binding (GO:0016922)	3/17	0.05017800549335433	1.0	0	0	3.5294117647058822	10.56062995015536	NCOA2;RXRA;TRIP4
translation factor activity, RNA binding (GO:0008135)	7/68	0.05279047635145934	1.0	0	0	2.0588235294117645	6.0558739225566685	EIF5A;EEF1G;EEF2K;DENR;GTF2H3;CPEB2;EIF3B
acylglycerol O-acyltransferase activity (GO:0016411)	4/29	0.05462119016329882	1.0	0	0	2.758620689655172	8.020229995291032	MBOAT7;LPCAT1;LCLAT1;PNPLA2
ATP binding (GO:0005524)	19/256	0.05616893389806084	1.0	0	0	1.484375	4.2740966873565505	NDUFA13;BRSK2;BLM;MLKL;CHD8;DAPK3;TNK1;CDC42BPB;ACLY;PFKL;PEX6;ATP5D;PMVK;SIK3;ABL1;TRIP13;MARK4;TSSK2;MYO1F
nucleoside-triphosphatase activity (GO:0017111)	29/425	0.056351660850245545	1.0	0	0	1.3647058823529412	3.9250900417862957	EIF4A2;BLM;ATP5I;RND2;ATP5L;SMCHD1;SEPT6;RUVBL2;ATP5D;RAB28;HRAS;DNAI1;RAB8A;RAB8B;KIF24;SEPT1;ABCA7;WRNIP1;RHOF;RAB31;GNAL;KIFC2;PSMC4;RAB15;RAB12;PEX6;GNB1;IFT27;RHOQ
transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	9/98	0.056454519179306425	1.0	0	0	1.836734693877551	5.279363146414378	TGIF1;NFXL1;SNAI2;TCF21;EN1;IRF8;ENO1;TCF3;CTCF
NAD+ binding (GO:0070403)	2/8	0.05721089072209802	1.0	0	0	5.0	14.305055007400815	SIRT5;SIRT6
cAMP response element binding protein binding (GO:0008140)	2/8	0.05721089072209802	1.0	0	0	5.0	14.305055007400815	CRTC1;DAPK3
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	3/18	0.058047017485584544	1.0	0	0	3.333333333333333	9.488339835095955	MBOAT7;LPCAT1;LCLAT1
neuropilin binding (GO:0038191)	3/19	0.06645795649124922	1.0	0	0	3.157894736842105	8.561639256247336	SEMA4C;SEMA3G;ABL1
polyubiquitin modification-dependent protein binding (GO:0031593)	5/44	0.06726261217595207	1.0	0	0	2.2727272727272725	6.134433491895637	PSMD4;TNIP2;RAD23A;EPS15;UBQLN4
adenyl ribonucleotide binding (GO:0032559)	20/280	0.06989428654021829	1.0	0	0	1.4285714285714284	3.8011019581501855	NDUFA13;BRSK2;BLM;MLKL;CHD8;DAPK3;TNK1;CDC42BPB;ACLY;PFKL;PEX6;ATP5D;PMVK;SIK3;ABL1;TRIP13;MARK4;TSSK2;FBP1;MYO1F
2-acylglycerol-3-phosphate O-acyltransferase activity (GO:0047144)	2/9	0.07117333236542388	1.0	0	0	4.444444444444444	11.745053671792467	MBOAT7;LPCAT1
O-acyltransferase activity (GO:0008374)	4/32	0.07364989211173907	1.0	0	0	2.5	6.521081502381298	MBOAT7;LPCAT1;LCLAT1;PNPLA2
methyl-CpG binding (GO:0008327)	3/20	0.07538936106098607	1.0	0	0	2.9999999999999996	7.755267341732064	MBD3;CHTOP;UHRF1
lysophosphatidic acid acyltransferase activity (GO:0042171)	3/20	0.07538936106098607	1.0	0	0	2.9999999999999996	7.755267341732064	MBOAT7;LPCAT1;LCLAT1
phospholipid-translocating ATPase activity (GO:0004012)	3/20	0.07538936106098607	1.0	0	0	2.9999999999999996	7.755267341732064	ATP8B3;ATP8A1;ABCA7
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	7/76	0.08519720761440963	1.0	0	0	1.8421052631578945	4.536712195036593	MBD3;ACER2;FA2H;AMDHD2;HMG20B;SIRT5;SAP18
prostaglandin receptor activity (GO:0004955)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	PTGER1;PTGER2
microtubule minus-end binding (GO:0051011)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	TUBGCP6;CAMSAP1
endocytic adaptor activity (GO:0098748)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	AP2S1;AP2A2
tau-protein kinase activity (GO:0050321)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	BRSK2;MARK4
death receptor binding (GO:0005123)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	PIDD1;MADD
adenylate cyclase binding (GO:0008179)	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	CAP1;CAP2
