Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Taurine and hypotaurine metabolism	3/11	0.015204352818016067	1.0	0	0	5.454545454545454	22.833673759197463	GGT7;CSAD;BAAT
Primary bile acid biosynthesis	3/17	0.05017800549335433	1.0	0	0	3.5294117647058822	10.56062995015536	HSD3B7;BAAT;CYP7A1
Glutathione metabolism	6/56	0.059923284693461636	1.0	0	0	2.142857142857143	6.031478835629902	GSTM2;GGT7;GSTO1;GSS;MGST2;LAP3
Vasopressin-regulated water reabsorption	5/44	0.06726261217595207	1.0	0	0	2.2727272727272725	6.134433491895637	DCTN6;DYNC1LI1;ARHGDIG;PRKACB;DYNLL2
Fluid shear stress and atherosclerosis	11/139	0.08883451839382546	1.0	0	0	1.58273381294964	3.8317668809376055	MEF2A;IKBKB;GSTM2;MIR10A;HSP90AB1;GSTO1;SUMO3;IL1B;RAC2;MGST2;RELA
Hippo signaling pathway	12/160	0.10547689674789608	1.0	0	0	1.4999999999999998	3.3738950073285414	PATJ;WNT10A;CCND2;RASSF2;SERPINE1;PPP2R2D;SCRIB;DCHS1;CSNK1E;FRMD1;LLGL2;GDF7
Ras signaling pathway	16/232	0.12111912283622606	1.0	0	0	1.379310344827586	2.9116975605853206	SHC4;PLA2G2D;CSF1;FLT3;RELA;FGF3;GNG13;GRIN1;IKBKB;GNB2;FGF18;RAC2;RIN1;PRKACB;FGFR3;SOS2
RNA transport	12/165	0.12430307174535642	1.0	0	0	1.4545454545454544	3.0327746449727915	NUP214;EIF2B5;UPF2;NDC1;EIF5B;EIF2B2;SUMO3;EIF3G;CASC3;EIF1B;NUP58;EIF4B
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	3/25	0.1269942219814603	1.0	0	0	2.4	4.9526728554420085	PIGQ;PIGM;PIGH
Nicotine addiction	4/40	0.1379595947094308	1.0	0	0	2.0	3.961588857315027	GRIN3A;GABRD;GABRG3;GRIN1
Legionellosis	5/55	0.13937991022954382	1.0	0	0	1.8181818181818181	3.582821649166955	CASP8;HSPA1L;IL1B;BNIP3;RELA
Toll-like receptor signaling pathway	8/104	0.14927432324369838	1.0	0	0	1.5384615384615385	2.9261070310469814	MAP2K3;IKBKB;CASP8;TOLLIP;IL1B;RIPK1;TICAM1;RELA
Necroptosis	11/162	0.18832482269682763	1.0	0	0	1.3580246913580245	2.267340406691085	HSP90AB1;CASP8;H2AFY;USP21;IL1B;CHMP3;RIPK1;RBCK1;TICAM1;CHMP6;JAK3
Cytosolic DNA-sensing pathway	5/63	0.20636211070548938	1.0	0	0	1.5873015873015872	2.504956879983314	IKBKB;IL1B;TREX1;RIPK1;RELA
Hedgehog signaling pathway	4/47	0.20718336704116536	1.0	0	0	1.7021276595744679	2.679406036964871	GRK2;CCND2;CSNK1E;PRKACB
Sphingolipid metabolism	4/47	0.20718336704116536	1.0	0	0	1.7021276595744679	2.679406036964871	SGPL1;CERS5;CERK;CERS2
Selenocompound metabolism	2/17	0.20773987788556972	1.0	0	0	2.352941176470588	3.6975731035436015	TXNRD2;SEPHS1
Endocrine and other factor-regulated calcium reabsorption	4/48	0.21779787247025076	1.0	0	0	1.6666666666666665	2.540313061339135	KLK1;ATP1B3;PRKACB;DNM1
MAPK signaling pathway	18/295	0.224120297657019	1.0	0	0	1.2203389830508475	1.8251052140397326	MAP2K3;PPP5D1;HSPA1L;CSF1;FLT3;NLK;CACNA1E;RELA;FGF3;MAPK8IP1;IKBKB;IL1B;MKNK1;FGF18;RAC2;PRKACB;FGFR3;SOS2
Shigellosis	5/65	0.2245509341987312	1.0	0	0	1.5384615384615385	2.2979272602185437	IKBKB;CTTN;ARPC3;UBE2D2;RELA
Cocaine addiction	4/49	0.22855481299593203	1.0	0	0	1.6326530612244896	2.4097619846443257	GRIN3A;PRKACB;RELA;GRIN1
Acute myeloid leukemia	5/66	0.23381942521025603	1.0	0	0	1.5151515151515151	2.201827497975576	IKBKB;FLT3;PIM1;SOS2;RELA
SNARE interactions in vesicular transport	3/34	0.24057000906593404	1.0	0	0	1.7647058823529411	2.5142543537821203	STX1B;STX16;YKT6
Chemokine signaling pathway	12/190	0.24303237414729376	1.0	0	0	1.263157894736842	1.786813411669786	SHC4;IKBKB;HCK;GRK2;GNB2;RAC2;CXCL14;PRKACB;JAK3;SOS2;RELA;GNG13
Prion diseases	3/35	0.25416276879858296	1.0	0	0	1.7142857142857142	2.3481949631326344	IL1B;C8B;PRKACB
Chagas disease (American trypanosomiasis)	7/103	0.2563521556372007	1.0	0	0	1.3592233009708736	1.8501790685021664	IKBKB;CASP8;IL1B;SERPINE1;PPP2R2D;TICAM1;RELA
Human immunodeficiency virus 1 infection	13/212	0.26377961818520207	1.0	0	0	1.2264150943396226	1.634371410639437	MAP2K3;APOBEC3D;RELA;GNG13;IKBKB;CASP8;AP1G1;GNB2;RAC2;ELOB;RIPK1;SKP1;ATR
Vitamin B6 metabolism	1/6	0.26493667555327055	1.0	0	0	3.333333333333333	4.427548139092615	PDXK
Wnt signaling pathway	10/158	0.2669520041494197	1.0	0	0	1.2658227848101267	1.6717549322539331	WNT10A;CCND2;DAAM2;RAC2;CSNK1E;PRICKLE1;NLK;LGR6;PRKACB;SKP1
Prolactin signaling pathway	5/70	0.2718688550208947	1.0	0	0	1.4285714285714284	1.860622113738027	SHC4;CCND2;ELF5;SOS2;RELA
Glycosaminoglycan biosynthesis	4/53	0.272750159994601	1.0	0	0	1.5094339622641508	1.9610551964847422	EXTL1;CHST15;ST3GAL2;HS6ST3
GABAergic synapse	6/89	0.2858516905884061	1.0	0	0	1.348314606741573	1.6884703375813395	GNB2;SLC6A13;PRKACB;GABRG3;GABRD;GNG13
Bile secretion	5/72	0.2913681345785638	1.0	0	0	1.3888888888888888	1.712732977852415	ATP1B3;SLC51B;BAAT;PRKACB;CYP7A1
p53 signaling pathway	5/72	0.2913681345785638	1.0	0	0	1.3888888888888888	1.712732977852415	CASP8;CCND2;SESN1;SERPINE1;ATR
Pathogenic Escherichia coli infection	4/55	0.2953729340320737	1.0	0	0	1.4545454545454544	1.773842236930121	KRT18;CTTN;TUBB3;ARPC3
Morphine addiction	6/91	0.303383440861158	1.0	0	0	1.3186813186813187	1.5728674181927342	GRK2;GNB2;PRKACB;GABRG3;GABRD;GNG13
