Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
muscle cell development	296	2.085285E-17	7.35485655405405E-16	2.208015	144	0.01471039	127	0.000728332871811	1.513484	66	106	0.008892482
striated muscle cell development	356	4.649169E-15	1.36340798764045E-13	2.181077	126	0.01287159	154	0.001973168135065	1.509621	59	95	0.00794934
muscle fiber development	422	4.772483E-13	1.18068062843602E-11	2.893251	63	0.006435795	190	0.004760095471579	1.773788	27	37	0.003637833
blastocyst development	587	1.797039E-09	3.19609662010222E-08	2.165079	75	0.007661661	343	0.033314009562682	1.465597	41	68	0.005524117
protein complex localization	588	1.992858E-09	3.53833971428571E-08	2.562226	53	0.00541424	130	0.000888383769231	1.855043	29	38	0.003907303
regulation of glial cell differentiation	589	2.022542E-09	3.58494711035654E-08	2.13427	77	0.007865972	171	0.002743269957895	1.728531	32	45	0.004311506
post-Golgi vesicle-mediated transport	594	2.286714E-09	4.01907309090909E-08	2.082861	81	0.008274594	373	0.044734980160858	1.420566	45	77	0.006063056
regulation of oligodendrocyte differentiation	615	5.305742E-09	9.00682056585366E-08	2.512007	52	0.005312085	179	0.003322108900559	2.008008	19	23	0.002559957
regulation of sodium ion transport	628	9.128546E-09	1.51754809299363E-07	2.155614	69	0.007048728	362	0.04168343038674	1.537819	31	49	0.004176772
establishment of spindle localization	671	3.548895E-08	5.52167865871833E-07	2.858921	37	0.003779753	259	0.013132705760618	1.902323	18	23	0.002425222
positive regulation of glial cell differentiation	713	9.675475E-08	1.41671751753156E-06	2.354662	49	0.005005619	320	0.026129643075	1.82306	18	24	0.002425222
regulation of protein depolymerization	742	1.587314E-07	2.23336363342318E-06	2.068361	63	0.006435795	274	0.01555287950365	1.550649	37	58	0.004985179
neuromuscular junction development	771	2.644132E-07	3.58038107392996E-06	2.19249	53	0.00541424	219	0.007418172986301	1.755539	26	36	0.003503099
negative regulation of protein depolymerization	812	4.810866E-07	6.18539914285714E-06	2.13099	54	0.005516396	328	0.027788545865854	1.569857	31	48	0.004176772
negative regulation of protein complex disassembly	815	4.901367E-07	6.27856091779141E-06	2.096879	56	0.005720707	297	0.020044198909091	1.572836	33	51	0.004446241
spindle localization	843	7.758466E-07	9.60834935231316E-06	2.475378	38	0.003881908	334	0.030490045005988	1.776315	19	26	0.002559957
neuroblast proliferation	845	8.001529E-07	9.88591275266272E-06	2.226247	47	0.004801308	206	0.005989372252427	1.890581	21	27	0.002829426
regulation of sodium ion transmembrane transport	922	2.327037E-06	2.63495295878525E-05	2.329649	39	0.003984064	334	0.030490045005988	1.776315	19	26	0.002559957
regulation of Cdc42 GTPase activity	948	3.381881E-06	3.72434996202532E-05	2.680507	29	0.002962509	383	0.048078707780679	1.890581	14	18	0.001886284
membrane budding	950	3.439156E-06	3.77945143578947E-05	2.06895	49	0.005005619	283	0.017506869201414	1.620498	30	45	0.004042037
melanosome	108	2.782295E-10	3.2588918287037E-09	2.024697	97	0.009909082	77	0.032672272142857	1.370527	53	94	0.007140932
clathrin adaptor complex	142	3.544577E-07	3.1576689471831E-06	2.559145	38	0.003881908	42	0.00708127422619	1.767816	24	33	0.00323363
AP-type membrane coat adaptor complex	145	4.939537E-07	4.30932021034483E-06	2.366475	43	0.004392686	66	0.023065070833333	1.600735	27	41	0.003637833
kinesin complex	149	8.91933E-07	7.57245130872483E-06	2.026413	58	0.005925018	72	0.026800729236111	1.513484	33	53	0.004446241
clathrin coat	158	1.50155E-06	1.20219034810127E-05	2.153774	48	0.004903463	54	0.011117091740741	1.620498	30	45	0.004042037
npBAF complex	205	4.226247E-05	0.000260790363659	3.337801	16	0.001634488	64	0.018842493226563	2.209769	10	11	0.001347346
BAF-type complex	209	5.263896E-05	0.000318604231579	2.662709	22	0.002247421	73	0.030564600753425	1.890581	14	18	0.001886284
M band	232	0.0001632864	0.000890333172414	2.25887	26	0.002656042	73	0.030564600753425	1.890581	14	18	0.001886284
ubiquitin conjugating enzyme binding	167	6.55111E-06	0.00014467361485	3.277026	20	0.00204311	69	0.043758226898551	2.430746	8	8	0.001077877
voltage-gated calcium channel activity	176	1.048529E-05	0.000219714485909	2.031238	46	0.004699152	38	0.006896564852632	1.805697	26	35	0.003503099
neurotrophin binding	493	0.005680427	0.042493741939148	2.29197	13	0.001328021	69	0.043758226898551	2.430746	8	8	0.001077877
