Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
RNA processing	126	4.880354E-138	4.04372188571429E-136	2.022434	1515	0.05551077	69	1.43090049913043E-18	1.157492	620	667	0.04279404
mRNA metabolic process	139	4.525277E-129	3.39884114244604E-127	2.0321	1402	0.05137036	89	1.67002580224719E-13	1.142141	565	616	0.03899779
RNA splicing	232	2.196284E-69	9.883278E-68	2.016628	769	0.02817676	136	1.00806183529412E-09	1.162472	309	331	0.021328
translation	234	3.166265E-69	1.41264130769231E-67	2.036279	749	0.02744394	127	4.30672359685039E-10	1.159002	336	361	0.02319161
ribonucleoprotein complex biogenesis	251	7.861362E-66	3.26982546932271E-64	2.132019	638	0.02337681	172	7.84906513953489E-08	1.16413	244	261	0.01684152
RNA splicing, via transesterification reactions	260	1.004817E-63	4.03472672307692E-62	2.330125	509	0.01865015	137	1.14165286423358E-09	1.197344	200	208	0.01380453
mRNA splicing, via spliceosome	264	9.756573E-63	3.85828114090909E-61	2.336868	498	0.01824711	129	4.85831065116279E-10	1.202298	196	203	0.01352844
guanosine-containing compound metabolic process	291	1.034635E-58	3.71188639175258E-57	2.008027	656	0.02403635	263	1.19049185703422E-05	1.142688	234	255	0.0161513
GTP metabolic process	307	2.913076E-56	9.90635616938111E-55	2.001838	633	0.02319361	289	3.22744977716263E-05	1.139367	226	247	0.01559912
guanosine-containing compound catabolic process	314	2.737485E-55	9.10170171974522E-54	2.011885	614	0.02249744	316	0.000127448612658	1.134432	215	236	0.01483987
GTP catabolic process	321	1.999611E-54	6.50340773831776E-53	2.008185	607	0.02224095	327	0.000159881991193	1.133485	213	234	0.01470182
proteasomal protein catabolic process	325	3.495897E-54	1.12298968246154E-52	2.151732	512	0.01876008	195	4.73893764923077E-07	1.176405	188	199	0.01297626
proteasome-mediated ubiquitin-dependent protein catabolic process	326	7.099399E-54	2.27354986380368E-52	2.170677	499	0.01828375	186	2.66384345806452E-07	1.18105	184	194	0.01270017
ncRNA processing	327	9.20395E-53	2.93850880733945E-51	2.169527	489	0.01791734	152	1.04460304736842E-08	1.183813	212	223	0.0146328
protein folding	356	1.705642E-45	5.0019388988764E-44	2.074366	466	0.0170746	254	9.87797862992126E-06	1.159359	189	203	0.01304528
ribosome biogenesis	360	2.377964E-44	6.8960956E-43	2.261877	373	0.01366701	366	0.000545632337705	1.150662	146	158	0.01007731
RNA catabolic process	363	3.407638E-43	9.80047953719008E-42	2.049103	455	0.01667155	330	0.000164879204727	1.13951	194	212	0.01339039
establishment of protein localization to membrane	374	9.315689E-41	2.60042227700535E-39	2.057734	424	0.01553569	269	1.47742960148699E-05	1.164026	172	184	0.01187189
rRNA metabolic process	387	1.254899E-38	3.38530893023256E-37	2.417168	282	0.0103327	412	0.001594462430097	1.161524	111	119	0.007661513
rRNA processing	389	1.856661E-38	4.98291538303342E-37	2.475826	268	0.009819727	454	0.003615102951542	1.157079	105	113	0.007247377
GTPase activity	62	3.983721E-54	2.36967145935484E-52	2.014272	599	0.02194782	67	0.000406481341851	1.132034	210	231	0.01449475
structural constituent of ribosome	68	3.079809E-44	1.67034346941177E-42	2.412635	326	0.01194489	83	0.00213991001253	1.143426	146	159	0.01007731
endonuclease activity	100	1.07668E-22	3.97079584E-21	2.077007	223	0.008170893	61	0.000117109658885	1.1978	101	105	0.006971287
endoribonuclease activity	109	1.292807E-19	4.37419469357798E-18	2.694371	112	0.004103767	106	0.01436574114717	1.218743	46	47	0.003175041
ribonuclease activity	113	1.762114E-19	5.75104109026549E-18	2.195569	166	0.006082368	69	0.000571681690435	1.212468	74	76	0.005107675
