Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	4/7	1.9255968499406884E-4	0.9826320725247333	0	0	11.428571428571427	97.77262171857551	SLC35F6;FZD9;TMEM14A;HSPA1A
toll-like receptor 3 signaling pathway (GO:0034138)	4/9	6.393918977627987E-4	1.0	0	0	8.888888888888888	65.37771549372528	UNC93B1;RFTN1;RIPK1;TICAM1
purine ribonucleoside triphosphate metabolic process (GO:0009205)	7/32	8.571538447484232E-4	1.0	0	0	4.375	30.895782487580483	HSPA8;LRRK2;AK4;NADK;MYH6;HSPA1B;HSPA1A
microtubule nucleation (GO:0007020)	5/17	0.001156267462541737	1.0	0	0	5.88235294117647	39.77975392066402	CENPJ;TUBGCP5;CSNK1D;TUBG2;NDEL1
regulation of hydrogen peroxide-induced cell death (GO:1903205)	4/11	0.0015450216807226607	1.0	0	0	7.2727272727272725	47.07430789745953	NUP93;LRRK2;RIPK1;GPR37L1
microtubule polymerization (GO:0046785)	6/27	0.0018431058730470871	1.0	0	0	4.444444444444444	27.98356958180855	TRPV4;CENPJ;TUBGCP5;CSNK1D;TUBG2;NDEL1
regulation of mitotic spindle assembly (GO:1901673)	5/19	0.001999021962037688	1.0	0	0	5.263157894736842	32.7110380895375	PLK1;HNRNPU;CCSAP;HSPA1B;HSPA1A
purine ribonucleoside monophosphate metabolic process (GO:0009167)	7/39	0.0028894498964380593	1.0	0	0	3.5897435897435894	20.988114869541434	HSPA8;AK4;NADK;MYH6;HSPA1B;LHPP;HSPA1A
negative regulation of telomere capping (GO:1904354)	3/7	0.0037478971295969244	1.0	0	0	8.571428571428571	47.88480310052898	ERCC4;ATM;TERF2
regulation of neural precursor cell proliferation (GO:2000177)	4/14	0.004155574183572428	1.0	0	0	5.7142857142857135	31.333169538457483	LRRK2;FZD9;SHCBP1;NES
regulation of cellular response to heat (GO:1900034)	10/78	0.005366311413517144	1.0	0	0	2.564102564102564	13.404139728435739	NUP93;HSPA8;RPA3;BAG1;RPA1;MAPK1;ATM;SIRT1;HSPA1B;HSPA1A
regulation of cellular response to stress (GO:0080135)	12/104	0.005729228777616272	1.0	0	0	2.3076923076923075	11.912710040996055	NUP93;HSPA8;RPA3;BAG1;RPA1;MAPK1;ATM;AJUBA;SIRT1;HSPA1B;EIF4G1;HSPA1A
response to leptin (GO:0044321)	3/8	0.005774732022768516	1.0	0	0	7.5	38.65697569976054	NR1D1;SIRT1;GCK
cellular response to organic substance (GO:0071310)	14/133	0.006771307890687211	1.0	0	0	2.1052631578947367	10.515917940096097	NANOS1;PTPN18;PID1;NPFFR1;KLF4;TNF;MAPK11;CLEC3B;CYP11B2;GNRHR;MAPK1;CTNNB1;PTPN6;MAPK6
regulation of spindle assembly (GO:0090169)	5/25	0.007123209459613566	1.0	0	0	4.0	19.777587553293714	PLK1;HNRNPU;CCSAP;HSPA1B;HSPA1A
negative regulation of response to reactive oxygen species (GO:1901032)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	NUP93;LRRK2;GPR37L1
