Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of cell cycle (GO:0045787)	13/82	2.0354180249831558E-4	1.0	0	0	3.170731707317073	26.950075374251824	SRPK2;CITED2;CCNH;SPHK1;PDGFB;FZD9;PTK6;TBX3;HMGN5;PSRC1;CKS2;MDM2;CCNYL1
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	11/67	4.533293671551379E-4	1.0	0	0	3.2835820895522385	25.27994262253538	CDKN2B;PSRC1;CDKN2C;CCNE2;CCNH;GADD45A;PTEN;CDK5RAP1;CKS2;PDGFB;CCNYL1
microtubule depolymerization (GO:0007019)	5/15	6.100386158706929E-4	1.0	0	0	6.666666666666666	49.34658865396347	KIF19;KIF18B;STMN3;KATNB1;CCSAP
negative regulation of cell size (GO:0045792)	3/6	0.0022241766503380937	1.0	0	0	10.0	61.08368476639271	RDX;AKT1S1;PTEN
cytoskeleton-dependent cytokinesis (GO:0061640)	10/70	0.0024197969760402912	1.0	0	0	2.8571428571428568	17.211633247231667	INCENP;ARL3;KIF4A;TRIM36;SPIRE1;SNX9;TMEM250;SEPT2;SEPT3;CIT
mitotic cytokinesis (GO:0000281)	9/59	0.0024888002112801134	1.0	0	0	3.0508474576271185	18.292742626236063	INCENP;ARL3;KIF4A;TRIM36;SNX9;TMEM250;SEPT2;SEPT3;CIT
negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031658)	3/7	0.0037478971295969244	1.0	0	0	8.571428571428571	47.88480310052898	CDKN2B;CDKN2C;PTEN
beta-catenin destruction complex disassembly (GO:1904886)	5/22	0.0039969158342765525	1.0	0	0	4.545454545454545	25.10105571226562	FZD1;FZD5;AXIN1;DVL3;PPP1CA
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	4/14	0.004155574183572428	1.0	0	0	5.7142857142857135	31.333169538457483	LRRK2;PYCR1;MET;PDE8A
cellular response to glucose starvation (GO:0042149)	6/33	0.005343233658797252	1.0	0	0	3.6363636363636362	19.0251791098256	SH3GLB1;MTMR3;IFI16;MYBBP1A;TP53;C12ORF66
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	5/24	0.005938776132475564	1.0	0	0	4.166666666666667	21.359384188084036	PAK1;PSRC1;KATNB1;MET;CDK5RAP2
in utero embryonic development (GO:0001701)	5/25	0.007123209459613566	1.0	0	0	4.0	19.777587553293714	FLCN;ARNT2;WNT7B;ADAM10;HINFP
regulation of cellular protein localization (GO:1903827)	5/25	0.007123209459613566	1.0	0	0	4.0	19.777587553293714	PTPN1;HFE;DVL3;SPIDR;NDEL1
protein kinase B signaling (GO:0043491)	6/35	0.007194940396698424	1.0	0	0	3.4285714285714284	16.917864763427033	NR4A1;CHUK;AKT1S1;PTEN;MDM2;ZFP36L1
nucleocytoplasmic transport (GO:0006913)	7/46	0.0074319468812778225	1.0	0	0	3.0434782608695654	14.919031292853147	LSG1;XPO1;MYBBP1A;ANP32E;AAAS;SNUPN;SNRPB
cellular response to ionizing radiation (GO:0071479)	7/46	0.0074319468812778225	1.0	0	0	3.0434782608695654	14.919031292853147	IFI16;GADD45A;TLK2;MDM2;RPL26;SPIDR;TP53
negative regulation of response to reactive oxygen species (GO:1901032)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	LRRK2;PYCR1;PDE8A
nuclear migration (GO:0007097)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	MBD1;DCTN4;DOCK7
