Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
npBAF complex (GO:0071564)	4/11	0.0015450216807226607	0.6890796696023067	0	0	7.2727272727272725	47.07430789745953	SMARCD1;PHF10;ACTL6A;ARID1A
intermediate filament (GO:0005882)	7/46	0.0074319468812778225	1.0	0	0	3.0434782608695654	14.919031292853147	KRT71;NARF;FBF1;TLK2;KRT13;KRT20;NES
BAF-type complex (GO:0090544)	4/17	0.008766901403579476	1.0	0	0	4.705882352941176	22.2906910717708	SMARCD1;PHF10;ACTL6A;ARID1A
U2-type prespliceosome (GO:0071004)	4/18	0.010832993829611394	1.0	0	0	4.444444444444444	20.111816967158788	U2AF2;PRPF40B;LUC7L;LUC7L3
aggresome (GO:0016235)	6/41	0.01547935582050457	1.0	0	0	2.9268292682926824	12.19975031809441	SFMBT2;HSPB7;URB2;TRIM66;HSPA1B;HSPA1A
ER to Golgi transport vesicle membrane (GO:0012507)	7/54	0.017451462104601394	1.0	0	0	2.592592592592592	10.495675155296674	SEC16B;SEC23A;SEC24B;TMED10;HFE;HLA-DPB1;HLA-C
lytic vacuole (GO:0000323)	16/183	0.021454146692707753	1.0	0	0	1.7486338797814207	6.717966921590326	HSPA8;RAMP2;USP6;ACE;ABCA5;UNC93B1;LRRK2;STX7;VPS33B;UNC13D;NAGLU;RAB12;TMEM106B;TPP1;CTSF;CTSD
cytoplasmic vesicle (GO:0031410)	18/215	0.022805468481758524	1.0	0	0	1.6744186046511627	6.330566387869882	NRP1;HFE;LRRK2;PLEKHG5;STX7;ARHGDIG;RHOBTB3;ADAM10;TRAK1;TMEM123;SPAST;CALY;PDPN;RAB24;SNX9;KIF1B;HAP1;SPG11
secondary lysosome (GO:0005767)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	NCF2;LRRK2;NCF4
prespliceosome (GO:0071010)	4/23	0.025734894590821872	1.0	0	0	3.4782608695652173	12.730112841155169	U2AF2;PRPF40B;LUC7L;LUC7L3
AP-3 adaptor complex (GO:0030123)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	VPS33A;VPS33B
spanning component of plasma membrane (GO:0044214)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CDHR5;AJAP1
