Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
npBAF complex (GO:0071564)	4/11	0.0015450216807226607	0.6890796696023067	0	0	7.2727272727272725	47.07430789745953	SMARCE1;SMARCB1;PHF10;ARID1A
coated vesicle (GO:0030135)	10/71	0.002693018849676521	0.6005432034778642	0	0	2.816901408450704	16.667866100474992	TMED9;SNX18;HIP1;STX17;TMED3;STX6;SNX9;TMED5;TMED4;YIF1B
RNA polymerase III transcription factor complex (GO:0090576)	3/8	0.005774732022768516	0.8585101607182527	0	0	7.5	38.65697569976054	GTF3C3;GTF3C6;BDP1
Golgi-associated vesicle (GO:0005798)	8/58	0.007909617433709982	0.881922343858663	0	0	2.758620689655172	13.350829967623373	TMED9;STX17;LRRK2;TMED3;ADAM10;TMED5;TMED4;YIF1B
BAF-type complex (GO:0090544)	4/17	0.008766901403579476	0.7820076051992892	0	0	4.705882352941176	22.2906910717708	SMARCE1;SMARCB1;PHF10;ARID1A
cytoplasmic vesicle (GO:0031410)	19/215	0.01172791027947161	0.8717746641073897	0	0	1.767441860465116	7.857664362383909	NRP1;RAB5B;CAV2;HFE;LRRK2;TESK1;ARHGDIG;RHOBTB3;ADAM10;TRAK1;PLD1;RND2;RAB11A;NKD2;SNX18;TBC1D2;CALY;PDPN;SNX9
COPII-coated ER to Golgi transport vesicle (GO:0030134)	9/75	0.012264979583150324	0.7814544134407206	0	0	2.4	10.56241743819921	TMED9;SEC24B;STX17;HFE;TMED3;HLA-A;TMED5;TMED4;YIF1B
nuclear chromosome part (GO:0044454)	30/392	0.013985955606395657	0.7797170250565579	0	0	1.530612244897959	6.535257587527629	PRIM2;SMARCB1;PCNA;LDB1;TNKS;CITED2;PRIM1;HMGB2;ACTB;CENPC;SMCHD1;E2F1;HIST1H1D;SMARCE1;ZRANB3;GINS2;CBX7;STN1;NPM2;KDM4C;H2AFX;RPA1;WRNIP1;KLF4;ARID1A;TERF2;PPP1CA;H2AFY2;BRMS1L;ASXL2
cytoplasmic vesicle membrane (GO:0030659)	7/54	0.017451462104601394	0.8648168998502469	0	0	2.592592592592592	10.495675155296674	AHNAK2;SPIRE1;SNX9;TMEM173;YWHAZ;VAMP5;RAB11A
pericentric heterochromatin (GO:0005721)	3/12	0.01953037772410442	0.8710548464950572	0	0	5.0	19.678920967843133	INCENP;KMT5C;CENPC
alpha DNA polymerase:primase complex (GO:0005658)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	PRIM2;PRIM1
transcription factor TFIIIC complex (GO:0000127)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	GTF3C3;GTF3C6
spanning component of plasma membrane (GO:0044214)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CDHR5;AJAP1
Cul5-RING ubiquitin ligase complex (GO:0031466)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CUL5;RBX1
SWI/SNF complex (GO:0016514)	3/15	0.03614002285058795	1.0	0	0	4.0	13.281417446154263	SMARCE1;SMARCB1;ARID1A
