Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
exonuclease activity (GO:0004527)	6/36	0.008276695319884123	1.0	0	0	3.333333333333333	15.981038354029879	FEN1;CNOT6;ERCC4;PDE12;FAN1;RAD9A
Toll-like receptor binding (GO:0035325)	3/9	0.008342411451160579	1.0	0	0	6.666666666666666	31.90935307720135	UNC93B1;TOLLIP;S100A9
cation transmembrane transporter activity (GO:0008324)	11/97	0.009054768158294497	1.0	0	0	2.268041237113402	10.66991787807533	SLC25A15;CALHM2;ATP8A1;SLC7A8;TRPV4;TRPC1;CHRNE;CACNA1D;CACNA1S;SCN5A;AQP1
actinin binding (GO:0042805)	4/22	0.022111430851613167	1.0	0	0	3.6363636363636362	13.860583894809807	C10ORF90;CACNA1D;PPARG;PDLIM4
tRNA-specific ribonuclease activity (GO:0004549)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	POP4;ELAC2;RPP14
phosphatidate phosphatase activity (GO:0008195)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	PLPPR2;PLPPR3;LPIN3
acetylcholine receptor activity (GO:0015464)	4/23	0.025734894590821872	1.0	0	0	3.4782608695652173	12.730112841155169	CHRM1;CHRM4;CHRNE;CHRNA6
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	4/24	0.02969412469495944	1.0	0	0	3.333333333333333	11.722686914871057	FEN1;ELAC2;POP4;RPP14
G-protein coupled neurotransmitter receptor activity (GO:0099528)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CHRM1;CHRM4
ubiquitin-dependent protein binding (GO:0140036)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	IDE;FAN1
G-protein coupled acetylcholine receptor activity (GO:0016907)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CHRM1;CHRM4
xylosyltransferase activity (GO:0042285)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	GXYLT1;GXYLT2
transforming growth factor beta-activated receptor activity (GO:0005024)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	ACVRL1;LTBP4
LBD domain binding (GO:0050693)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	CITED2;PPARG
protein kinase binding (GO:0019901)	34/495	0.03849028254071744	1.0	0	0	1.3737373737373737	4.474742707755652	SHC4;ACVRL1;GSK3A;ITGB2;CD3E;CCND3;DUSP10;CHEK2;RAC2;SCN5A;FAM83D;FAM83A;PDGFRB;CAVIN3;INSRR;CADPS;AP1B1;RHOH;TICAM1;YWHAZ;SNAP91;RHOB;TRPV4;KIT;TYRO3;PTPN6;MAPRE3;RHOV;FGFR3;EXOC2;MYH6;MAP3K12;RAD9A;CDK5R1
four-way junction DNA binding (GO:0000400)	3/16	0.04287015534900723	1.0	0	0	3.75	11.81092265495912	YY1;HMGB3;HMGB1
