Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
acid-amino acid ligase activity (GO:0016881)	4/14	0.004155574183572428	1.0	0	0	5.7142857142857135	31.333169538457483	TTLL4;PPCS;FPGS;GCLM
phospholipid-translocating ATPase activity (GO:0004012)	4/20	0.015846713681637082	1.0	0	0	4.0	16.579172555417852	ATP8B2;ATP8B1;ATP11A;ATP9B
ATPase activity, coupled to movement of substances (GO:0043492)	7/56	0.020984730458087762	1.0	0	0	2.5	9.659900566957184	ATP8B2;ABCA5;ATP8B1;ABCB5;ATP11A;ABCA12;ATP9B
phosphatidate phosphatase activity (GO:0008195)	3/13	0.02446267254220388	1.0	0	0	4.615384615384615	17.125877967461363	PLPP5;PLPPR3;PLPP1
Rho GTPase binding (GO:0017048)	8/72	0.026917281476999108	1.0	0	0	2.222222222222222	8.033303921239105	RTKN;CDC42EP5;LRRK2;ARFIP2;MTSS1L;STXBP6;SRGAP3;WASF1
tubulin binding (GO:0015631)	20/255	0.03157988898223901	1.0	0	0	1.5686274509803921	5.419976134284031	OFD1;VBP1;ARL3;LRRK2;STMN3;HTT;KIF12;WASH3P;CCSAP;SKA1;AGBL4;TTLL4;KIF26B;KIF5B;NUSAP1;TUBGCP5;TRIM36;KIF3C;MARK4;NDEL1
5'-3' DNA helicase activity (GO:0043139)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	ERCC2;TWNK
1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)	2/6	0.032750693472061776	1.0	0	0	6.666666666666666	22.792207616037423	PIKFYVE;PIP4K2A
lipoprotein particle receptor binding (GO:0070325)	4/25	0.03399335307152362	1.0	0	0	3.1999999999999997	10.821088868398542	LRP1;SNX17;APOC3;LDLRAP1
frizzled binding (GO:0005109)	5/37	0.03578300819815846	1.0	0	0	2.7027027027027026	9.000762512391741	FZD1;WNT2B;DVL1;PTCH2;WNT4
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	3/15	0.03614002285058795	1.0	0	0	4.0	13.281417446154263	PIKFYVE;SYNJ2;MTMR7
phosphatidylinositol phosphate kinase activity (GO:0016307)	3/15	0.03614002285058795	1.0	0	0	4.0	13.281417446154263	PIKFYVE;ZFYVE21;PIP4K2A
ubiquitin-specific protease binding (GO:1990381)	3/16	0.04287015534900723	1.0	0	0	3.75	11.81092265495912	BAG6;VCP;CHMP3
phosphatidylinositol 3-kinase regulatory subunit binding (GO:0036312)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	PTPN13;PIK3AP1
estradiol 17-beta-dehydrogenase activity (GO:0004303)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	HSD17B2;HSD17B11
vascular endothelial growth factor-activated receptor activity (GO:0005021)	2/7	0.04435183521490911	1.0	0	0	5.7142857142857135	17.803435376080927	NRP1;FLT4
