Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Leishmaniasis	9/74	0.011278228040186225	1.0	0	0	2.4324324324324325	10.909170325673292	MAPK11;NCF2;ITGB2;NCF4;HLA-DPB1;MAPK1;PTPN6;HLA-DOA;TNF
Hippo signaling pathway	15/160	0.014391384367797242	1.0	0	0	1.875	7.952110423592947	FZD1;PATJ;ITGB2;FZD9;CSNK1D;AXIN2;YWHAZ;TGFBR2;WNT6;PPP2R1B;CTNNB1;DCHS1;AMH;AJUBA;LLGL2
Hepatocellular carcinoma	15/168	0.021489063698149326	1.0	0	0	1.7857142857142856	6.857519890115907	FZD1;GSTM3;SMARCD1;GADD45B;PHF10;FZD9;BRAF;AXIN2;ARID1A;TGFBR2;WNT6;FRAT1;GSTA4;MAPK1;CTNNB1
TGF-beta signaling pathway	9/90	0.03581529681696861	1.0	0	0	2.0	6.65876038289141	AMHR2;PPP2R1B;SMURF2;MAPK1;AMH;TNF;LEFTY2;TGFBR2;INHBE
Basal cell carcinoma	7/63	0.037195930953808354	1.0	0	0	2.222222222222222	7.314568681439843	FZD1;WNT6;GADD45B;PTCH2;FZD9;CTNNB1;AXIN2
IL-17 signaling pathway	9/93	0.04282670200602041	1.0	0	0	1.9354838709677418	6.097922888284696	FOSL1;MAPK11;TRAF5;MAPK1;ANAPC5;MAPK6;TNF;S100A9;IL17B
Fanconi anemia pathway	6/54	0.05175964311269336	1.0	0	0	2.222222222222222	6.580321164119916	FANCM;ERCC4;RPA3;REV1;RPA1;FANCE
Gastric cancer	12/149	0.07041999037716043	1.0	0	0	1.610738255033557	4.273736539980372	FZD1;WNT6;FRAT1;FGF9;GADD45B;JUP;FZD9;MAPK1;CTNNB1;BRAF;AXIN2;TGFBR2
Type II diabetes mellitus	5/46	0.07838227433911542	1.0	0	0	2.1739130434782608	5.535124934351927	PKLR;MAPK1;CACNA1D;TNF;GCK
Fructose and mannose metabolism	4/33	0.08064706826013496	1.0	0	0	2.4242424242424243	6.103449276278521	TIGAR;AKR1B10;PMM1;FBP1
Cushing syndrome	12/155	0.0884541661470692	1.0	0	0	1.5483870967741935	3.7552579475091505	FZD1;WNT6;NR4A1;MC2R;FZD9;GNAS;MAPK1;CTNNB1;CACNA1D;BRAF;CACNA1S;AXIN2
Antigen processing and presentation	7/77	0.08989981224700702	1.0	0	0	1.8181818181818181	4.380108047221139	HSPA8;CANX;HLA-DPB1;HLA-DOA;TNF;HSPA1B;HSPA1A
Cellular senescence	12/160	0.10547689674789608	1.0	0	0	1.4999999999999998	3.3738950073285414	HIPK4;MAPK11;GADD45B;IGFBP3;TRPV4;MAPK1;CACNA1D;ATM;LIN9;SIRT1;HIPK3;TGFBR2
Leukocyte transendothelial migration	9/112	0.10822525381663513	1.0	0	0	1.6071428571428572	3.5735472970534112	MAPK11;CLDN4;NCF2;CLDN9;NCF4;CLDN7;ITGB2;RHOH;CTNNB1
Acute myeloid leukemia	6/66	0.1114753492102168	1.0	0	0	1.8181818181818181	3.9890032651653162	JUP;ZBTB16;KIT;MAPK1;BRAF;PIM2
Aldosterone-regulated sodium reabsorption	4/37	0.11170784333278796	1.0	0	0	2.1621621621621623	4.739174827095357	HSD11B2;FXYD4;FXYD2;MAPK1
Thyroid cancer	4/37	0.11170784333278796	1.0	0	0	2.1621621621621623	4.739174827095357	GADD45B;MAPK1;CTNNB1;BRAF
Toxoplasmosis	9/113	0.1126969016644807	1.0	0	0	1.5929203539823007	3.4774301153628686	HSPA8;MAPK11;LAMC3;HLA-DPB1;MAPK1;HLA-DOA;TNF;HSPA1B;HSPA1A
Breast cancer	11/147	0.11883496557521814	1.0	0	0	1.4965986394557822	3.1877844239018156	FZD1;WNT6;FRAT1;FGF9;GADD45B;KIT;FZD9;MAPK1;CTNNB1;BRAF;AXIN2
Insulin secretion	7/86	0.1385007496507468	1.0	0	0	1.627906976744186	3.2181759965349643	FXYD2;KCNMB3;GNAS;CACNA1D;KCNN2;CACNA1S;GCK
Maturity onset diabetes of the young	3/26	0.1385193121264188	1.0	0	0	2.3076923076923075	4.561720443090936	PKLR;PAX4;GCK
Legionellosis	5/55	0.13937991022954382	1.0	0	0	1.8181818181818181	3.582821649166955	HSPA8;ITGB2;TNF;HSPA1B;HSPA1A
Chagas disease (American trypanosomiasis)	8/103	0.1436496829254225	1.0	0	0	1.553398058252427	3.0141789527471206	MAPK11;ACE;PPP2R1B;GNAS;MAPK1;TICAM1;TNF;TGFBR2
Glucagon signaling pathway	8/103	0.1436496829254225	1.0	0	0	1.553398058252427	3.0141789527471206	CPT1A;GCGR;GNAS;PPP4R3A;PYGL;SIRT1;FBP1;GCK
p53 signaling pathway	6/72	0.15049803689681743	1.0	0	0	1.6666666666666665	3.1563420645887432	TP53AIP1;STEAP3;GADD45B;IGFBP3;SIAH1;ATM
Hepatitis C	11/155	0.1538548184237674	1.0	0	0	1.4193548387096773	2.6566715414274853	CLDN4;PPP2R1B;CLDN9;CLDN7;MAPK1;CTNNB1;RIPK1;BRAF;TICAM1;TNF;YWHAZ
Signaling pathways regulating pluripotency of stem cells	10/139	0.15841964449431314	1.0	0	0	1.4388489208633093	2.651090343912608	FZD1;WNT6;MAPK11;FZD9;MAPK1;CTNNB1;AXIN2;KLF4;LEFTY2;INHBE
Endometrial cancer	5/58	0.16328476821631294	1.0	0	0	1.7241379310344829	3.1245854451901107	GADD45B;MAPK1;CTNNB1;BRAF;AXIN2
Viral myocarditis	5/59	0.17159602546898528	1.0	0	0	1.694915254237288	2.987478396269761	ITGB2;HLA-DPB1;HLA-DOA;MYH6;EIF4G1
Pertussis	6/76	0.17945756311992533	1.0	0	0	1.5789473684210524	2.712341867627267	MAPK11;ITGB2;MAPK1;TICAM1;TNF;C2
Osteoclast differentiation	9/127	0.18537679054393458	1.0	0	0	1.4173228346456692	2.388706043433952	FOSL1;MAPK11;NCF2;NCF4;BLNK;MAPK1;TREM2;TNF;TGFBR2
Pentose phosphate pathway	3/30	0.1877155615267818	1.0	0	0	2.0	3.345654864900365	H6PD;RPE;FBP1
Adrenergic signaling in cardiomyocytes	10/145	0.19008400164182263	1.0	0	0	1.379310344827586	2.290054056028796	MAPK11;PPP2R1B;PPP1R1A;FXYD2;GNAS;MAPK1;CACNA1D;CACNA1S;SCN5A;MYH6
Cell adhesion molecules (CAMs)	10/145	0.19008400164182263	1.0	0	0	1.379310344827586	2.290054056028796	CLDN4;VCAN;CLDN9;CLDN7;ITGB2;HLA-DPB1;MADCAM1;CDH15;PDCD1;HLA-DOA
NF-kappa B signaling pathway	7/95	0.19731095294472298	1.0	0	0	1.4736842105263155	2.3917516785909614	GADD45B;TRAF5;BLNK;RIPK1;ATM;TICAM1;TNF
Asthma	3/31	0.20065196718317338	1.0	0	0	1.9354838709677418	3.1087420224475646	HLA-DPB1;HLA-DOA;TNF
Circadian rhythm	3/31	0.20065196718317338	1.0	0	0	1.9354838709677418	3.1087420224475646	BHLHE41;CSNK1D;NR1D1
Nucleotide excision repair	4/47	0.20718336704116536	1.0	0	0	1.7021276595744679	2.679406036964871	ERCC4;RPA3;POLE2;RPA1
FoxO signaling pathway	9/132	0.21541314624406385	1.0	0	0	1.3636363636363635	2.0934511150206414	MAPK11;HOMER1;GADD45B;PLK1;MAPK1;BRAF;ATM;SIRT1;TGFBR2
Aldosterone synthesis and secretion	7/98	0.21881398496006546	1.0	0	0	1.4285714285714284	2.1707618483434215	ATF1;NR4A1;MC2R;CYP11B2;GNAS;CACNA1D;CACNA1S
