Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Shigellosis	8/65	0.015361461773367072	1.0	0	0	2.4615384615384617	10.279122186470978	RIPK2;RHOG;PFN4;ELMO3;WASL;BTRC;PFN3;VCL
Circadian rhythm	5/31	0.017804675725432068	1.0	0	0	3.225806451612903	12.994497338628113	PER2;PRKAB2;BHLHE41;CSNK1D;BTRC
Endocytosis	18/244	0.06468431975714976	1.0	0	0	1.4754098360655736	4.040021006417941	USP8;HSPA8;ARFGEF2;PDCD6IP;SMURF2;CLTB;SNF8;WASL;AP2B1;ASAP2;PLD1;EPN1;CYTH3;SNX4;CAPZB;KIF5B;CAPZA2;CLTCL1
Phospholipase D signaling pathway	12/148	0.06766615426589831	1.0	0	0	1.6216216216216217	4.367301342263154	CYTH3;PLCB3;RRAS;DGKA;KIT;PDGFB;GNAS;ADCY3;PTK2B;PLD1;F2;RALGDS
Hedgehog signaling pathway	5/47	0.08428928588938157	1.0	0	0	2.127659574468085	5.26276705761003	SMURF2;CSNK1A1;PTCH2;CSNK1D;BTRC
Cushing syndrome	12/155	0.0884541661470692	1.0	0	0	1.5483870967741935	3.7552579475091505	FZD1;USP8;NR4A1;PLCB3;CCNE2;DVL2;FZD9;GNAS;ADCY3;CACNA1D;ASH2L;PBX1
Endocrine and other factor-regulated calcium reabsorption	5/48	0.0904238200779985	1.0	0	0	2.0833333333333335	5.006765728864707	PLCB3;CLTCL1;CLTB;GNAS;AP2B1
Terpenoid backbone biosynthesis	3/22	0.09471898702745883	1.0	0	0	2.727272727272727	6.427747642616689	MVK;PDSS2;PCYOX1
Arginine and proline metabolism	5/49	0.0967823010309069	1.0	0	0	2.0408163265306123	4.765900289809773	OAT;MAOA;ALDH9A1;SRM;AGMAT
Cortisol synthesis and secretion	6/65	0.10553500656937817	1.0	0	0	1.8461538461538463	4.1514693512884095	NR4A1;PLCB3;GNAS;ADCY3;CACNA1D;PBX1
Circadian entrainment	8/97	0.11221289529851242	1.0	0	0	1.6494845360824741	3.608012142083881	PER2;MTNR1A;PLCB3;KCNJ6;CALML5;GNAS;ADCY3;CACNA1D
Vitamin digestion and absorption	3/24	0.11583411237416653	1.0	0	0	2.5	5.388990442839107	ABCC1;SLC52A3;SLC19A3
Fanconi anemia pathway	5/54	0.13177730633611895	1.0	0	0	1.8518518518518516	3.7530404709585476	CENPX;FANCM;FANCL;UBE2T;RPA1
