Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
ATP hydrolysis coupled transmembrane transport	37	2.14E-10	7.61E-08	2.480304	63	0.01287028	736	0.034165534	1.528764	36	75	0.006181319
gene silencing by miRNA	119	7.56E-07	8.35E-05	2.441873	39	0.007967314	840	0.049446185	1.664847	23	44	0.003949176
TOR signaling	136	1.58E-06	0.000152421	2.585447	33	0.006741573	822	0.046766776	1.910955	15	25	0.002575549
RNA destabilization	216	1.71E-05	0.001040113	2.233703	35	0.007150153	365	0.00123077	2.354075	17	23	0.002918956
mRNA destabilization	242	2.75E-05	0.00149114	2.210104	34	0.006945863	359	0.001148749	2.426609	16	21	0.002747253
DNA topological change	272	4.76E-05	0.002302052	3.890315	13	0.002655771	577	0.013919992	2.831044	8	9	0.001373626
3'-UTR-mediated mRNA destabilization	318	0.000113594	0.004695592	2.356639	25	0.005107252	780	0.040668911	2.388693	9	12	0.00154533
positive regulation of cilium assembly	402	0.000295293	0.009655791	2.251142	24	0.004902962	749	0.035629321	2.070201	13	20	0.002232143
regulation of receptor recycling	530	0.000780521	0.019358391	2.096993	24	0.004902962	607	0.018800304	2.077125	15	23	0.002575549
nucleosome disassembly	555	0.000925121	0.021911197	2.607452	15	0.003064351	767	0.037885964	2.123283	12	18	0.00206044
atrioventricular valve formation	561	0.000958876	0.022467769	3.165209	11	0.002247191	507	0.007780077	3.184924	7	7	0.001201923
SA node cell to atrial cardiac muscle cell communication	576	0.001045752	0.023865295	2.574847	15	0.003064351	577	0.013919992	2.831044	8	9	0.001373626
response to inactivity	588	0.001111474	0.024847493	2.469811	16	0.003268641	629	0.020307142	2.449942	10	13	0.001717033
positive regulation of receptor recycling	595	0.001168356	0.025811831	2.313773	18	0.003677222	530	0.009519693	2.502441	11	14	0.001888736
clathrin coat assembly	650	0.001536386	0.031070452	2.199442	19	0.003881512	343	0.000827889	2.622879	14	17	0.002403846
protein-DNA complex disassembly	656	0.001606949	0.03220022	2.380329	16	0.003268641	749	0.035629321	2.070201	13	20	0.002232143
SA node cell action potential	724	0.002246488	0.04078741	2.463133	14	0.002860061	717	0.031929865	2.786809	7	8	0.001201923
germ cell migration	763	0.002648406	0.045626864	2.007115	21	0.004290092	577	0.013919992	2.831044	8	9	0.001373626
npBAF complex	112	0.000465814	0.007178522	2.686785	16	0.003268641	80	0.006749292	2.654104	10	12	0.001717033
central region of growth cone	140	0.00147196	0.018147164	3.201961	10	0.002042901	111	0.047392586	3.184924	5	5	0.000858517
four-way junction DNA binding	66	7.13E-05	0.004557	2.675504	21	0.004290092	93	0.019288152	2.388693	12	16	0.00206044
DNA secondary structure binding	101	0.000610273	0.025492497	2.03217	27	0.005515832	91	0.01864275	2.123283	16	24	0.002747253
"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity"	139	0.001473369	0.044720459	2.15698	20	0.004085802	89	0.018195239	2.502441	11	14	0.001888736
