Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Systemic lupus erythematosus	15/133	0.0026884119978347687	0.8280308953331088	0	0	2.2556390977443606	13.350687056531578	HIST1H2AL;HIST1H2BL;HIST2H4A;HIST1H4A;HLA-DMA;HIST1H3A;HLA-DMB;HIST1H3B;HIST1H4C;HIST1H4D;HIST1H2AC;HIST1H4E;HIST1H2AB;HIST1H2BC;HLA-DQB1
Alcoholism	15/180	0.03669787618232015	1.0	0	0	1.6666666666666665	5.508393992146127	HIST1H2AL;SHC1;BDNF;HIST1H2BL;HIST2H4A;HIST1H4A;HIST1H3A;TH;HIST1H3B;HIST1H4C;HIST1H4D;HIST1H2AC;HIST1H4E;HIST1H2AB;HIST1H2BC
Acute myeloid leukemia	7/66	0.0461316060876481	1.0	0	0	2.121212121212121	6.525393563105938	STAT5A;CCNA1;TCF7L1;SPI1;CHUK;EIF4EBP1;DUSP6
Selenocompound metabolism	3/17	0.05017800549335433	1.0	0	0	3.5294117647058822	10.56062995015536	CTH;MARS;SCLY
Parkinson disease	12/142	0.05262184308995271	1.0	0	0	1.6901408450704225	4.976829257862233	NDUFA13;NDUFA6;NDUFA11;TH;NDUFS7;NDUFB6;UBE2L6;UQCR11;PARK7;SDHB;SEPT5;COX6B1
Breast cancer	12/147	0.06498348347211058	1.0	0	0	1.6326530612244896	4.4630565580482475	NCOA1;NOTCH3;TCF7L1;GADD45B;SHC1;NOTCH4;FGF19;FLT4;DVL2;E2F3;WNT9A;BRCA2
Lysine degradation	6/59	0.073523209939382	1.0	0	0	2.0338983050847457	5.308788083641293	GCDH;KMT2A;EHHADH;NSD2;SETD1A;KMT5B
Synthesis and degradation of ketone bodies	2/10	0.08609691405925976	1.0	0	0	4.0	9.809126838186547	HMGCL;OXCT1
Lysosome	10/123	0.0885699310505985	1.0	0	0	1.6260162601626016	3.9414030205438846	ABCA2;LAMP1;HYAL1;FUCA1;GBA;AP3D1;CLTA;AP1S3;ATP6V0D1;AP1M2
Synaptic vesicle cycle	7/78	0.09474562652597404	1.0	0	0	1.7948717948717947	4.2297223484243345	NAPA;SLC6A9;SLC6A13;CLTA;SLC6A11;ATP6V0D1;STX1A
Glycerophospholipid metabolism	8/97	0.11221289529851242	1.0	0	0	1.6494845360824741	3.608012142083881	PTDSS2;ACHE;PHOSPHO1;PLPP5;PLA2G2E;CHKA;PLA2G4B;LPIN1
Retinol metabolism	6/67	0.11758211344423333	1.0	0	0	1.7910447761194028	3.8339433163846697	UGT2B11;ADH1C;UGT1A4;DHRS4L2;BCO1;CYP3A5
Oxidative phosphorylation	10/133	0.12962027533045753	1.0	0	0	1.5037593984962405	3.0724000930063378	NDUFA13;NDUFA6;NDUFA11;NDUFS7;NDUFB6;UQCR11;ATP6V0D1;SDHB;COX6B1;LHPP
Ribosome biogenesis in eukaryotes	8/101	0.1327237667281199	1.0	0	0	1.584158415841584	3.1991845583986054	NXF1;RNA5S12;REXO1;CSNK2A1;RIOK1;RPP25L;RMRP;NOL6
Prolactin signaling pathway	6/70	0.13686946768775143	1.0	0	0	1.7142857142857142	3.4092473107677503	STAT5A;GALT;TH;SHC1;ELF5;MAPK12
Transcriptional misregulation in cancer	13/186	0.14053179803192992	1.0	0	0	1.3978494623655913	2.7430300471977467	DDX5;SPI1;KMT2A;GADD45B;SIX1;DUSP6;ELK4;CCNA1;HIST1H3A;NSD2;TCF3;UTY;HIST1H3B
Ascorbate and aldarate metabolism	3/27	0.15038161447469178	1.0	0	0	2.222222222222222	4.210175820273459	UGT2B11;RGN;UGT1A4
Butanoate metabolism	3/28	0.16255339603696525	1.0	0	0	2.142857142857143	3.893033014692501	HMGCL;OXCT1;EHHADH
Leishmaniasis	6/74	0.1647057705275506	1.0	0	0	1.6216216216216217	2.924748009429989	HLA-DMA;CR1;HLA-DMB;FCGR2C;MAPK12;HLA-DQB1
Th1 and Th2 cell differentiation	7/92	0.1766966657885233	1.0	0	0	1.5217391304347827	2.6376620400404125	STAT5A;NOTCH3;HLA-DMA;HLA-DMB;CHUK;MAPK12;HLA-DQB1
Chronic myeloid leukemia	6/76	0.17945756311992533	1.0	0	0	1.5789473684210524	2.712341867627267	STAT5A;CHUK;GADD45B;SHC1;E2F3;CRKL
ABC transporters	4/45	0.18643368284604128	1.0	0	0	1.7777777777777777	2.98609722860718	ABCA2;ABCG8;ABCC6;ABCA7
Asthma	3/31	0.20065196718317338	1.0	0	0	1.9354838709677418	3.1087420224475646	HLA-DMA;HLA-DMB;HLA-DQB1
beta-Alanine metabolism	3/31	0.20065196718317338	1.0	0	0	1.9354838709677418	3.1087420224475646	AOC3;EHHADH;CNDP1
Basal cell carcinoma	5/63	0.20636211070548938	1.0	0	0	1.5873015873015872	2.504956879983314	TCF7L1;GADD45B;SUFU;DVL2;WNT9A
Non-alcoholic fatty liver disease (NAFLD)	10/149	0.21263497715518503	1.0	0	0	1.3422818791946307	2.0780916854371307	SREBF1;NDUFA13;PRKAA1;NDUFA6;NDUFA11;NDUFS7;NDUFB6;UQCR11;SDHB;COX6B1
Other glycan degradation	2/18	0.22645148897005046	1.0	0	0	2.222222222222222	3.3004989638462865	FUCA1;GBA
N-Glycan biosynthesis	4/50	0.2394412597417243	1.0	0	0	1.5999999999999999	2.287115446802478	B4GALT3;DPM3;GANAB;ALG14
Huntington disease	12/193	0.2595912518027711	1.0	0	0	1.2435233160621761	1.6770739815254025	NDUFA13;NDUFA6;NDUFA11;NDUFS7;NDUFB6;BDNF;POLR2E;CLTA;UQCR11;SDHB;BBC3;COX6B1
DNA replication	3/36	0.2678594070249647	1.0	0	0	1.6666666666666665	2.1954883946257717	RNASEH2A;PRIM1;MCM3
Tyrosine metabolism	3/36	0.2678594070249647	1.0	0	0	1.6666666666666665	2.1954883946257717	AOC3;ADH1C;TH
Autoimmune thyroid disease	4/53	0.272750159994601	1.0	0	0	1.5094339622641508	1.9610551964847422	HLA-DMA;HLA-DMB;TG;HLA-DQB1
Glycosaminoglycan biosynthesis	4/53	0.272750159994601	1.0	0	0	1.5094339622641508	1.9610551964847422	B4GALT3;CHST11;B3GAT3;HS3ST1
Thyroid cancer	3/37	0.2816374857336128	1.0	0	0	1.6216216216216217	2.054812778279635	TCF7L1;GADD45B;CDH1
Pathogenic Escherichia coli infection	4/55	0.2953729340320737	1.0	0	0	1.4545454545454544	1.773842236930121	TUBA1A;CDH1;NCK2;TUBB4A
Allograft rejection	3/38	0.29547545275268733	1.0	0	0	1.5789473684210524	1.9250044986274375	HLA-DMA;HLA-DMB;HLA-DQB1
mRNA surveillance pathway	6/91	0.303383440861158	1.0	0	0	1.3186813186813187	1.5728674181927342	NXF1;DAZAP1;PABPN1;PPP2R1A;MSI1;SRRM1
Viral carcinogenesis	12/201	0.3054856995308486	1.0	0	0	1.1940298507462686	1.4159430585223085	STAT5A;DDB1;HIST2H4A;CCNA1;HIST1H4A;HIST1H2BL;CCR8;ATP6V0D1;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H2BC
Bacterial invasion of epithelial cells	5/74	0.31110059336369467	1.0	0	0	1.3513513513513513	1.577890496988918	CDH1;SHC1;CLTA;BCAR1;CRKL
Glycine, serine and threonine metabolism	3/40	0.3232493972692518	1.0	0	0	1.4999999999999998	1.693996688892286	AOC3;SRR;CTH
Bladder cancer	3/41	0.3371468638537048	1.0	0	0	1.4634146341463412	1.5910780182096236	CDH1;DAPK3;E2F3
Graft-versus-host disease	3/41	0.3371468638537048	1.0	0	0	1.4634146341463412	1.5910780182096236	HLA-DMA;HLA-DMB;HLA-DQB1
Phagosome	9/152	0.35009569492044973	1.0	0	0	1.1842105263157894	1.2428866750394152	HLA-DMA;TUBA1A;HLA-DMB;LAMP1;CD209;ATP6V0D1;TUBB4A;FCGR2C;HLA-DQB1
Alzheimer disease	10/171	0.3516875864008027	1.0	0	0	1.1695906432748537	1.2222362995482308	NDUFA13;NDUFA6;NDUFA11;NDUFS7;NDUFB6;ATP2A2;UQCR11;SDHB;GAPDH;COX6B1
alpha-Linolenic acid metabolism	2/25	0.3576694978288805	1.0	0	0	1.5999999999999999	1.645033455050064	PLA2G2E;PLA2G4B
Type I diabetes mellitus	3/43	0.36487351009848823	1.0	0	0	1.3953488372093021	1.4067970229812217	HLA-DMA;HLA-DMB;HLA-DQB1
Fatty acid degradation	3/44	0.3786697727707907	1.0	0	0	1.3636363636363635	1.3242146804495836	GCDH;ADH1C;EHHADH
Inflammatory mediator regulation of TRP channels	6/100	0.38397671632870417	1.0	0	0	1.2	1.1486080353521109	PLA2G4B;HTR2C;TRPM8;HTR2A;ASIC3;MAPK12
Measles	8/138	0.38588815366024015	1.0	0	0	1.1594202898550725	1.1040089378109808	STAT5A;CSNK2A1;CHUK;CD209;CD46;SLAMF1;TP73;BBC3
AMPK signaling pathway	7/120	0.39363540297261096	1.0	0	0	1.1666666666666665	1.0877185331509394	SREBF1;CCNA1;PRKAA1;EEF2K;PPP2R1A;EIF4EBP1;EEF2
Biosynthesis of unsaturated fatty acids	2/27	0.39397603610044213	1.0	0	0	1.4814814814814814	1.3799484349837585	ACOT7;ELOVL5
Fatty acid elongation	2/27	0.39397603610044213	1.0	0	0	1.4814814814814814	1.3799484349837585	ACOT7;ELOVL5
Tuberculosis	10/179	0.4057408879304794	1.0	0	0	1.1173184357541899	1.007866514177665	HLA-DMA;CR1;HLA-DMB;LAMP1;CD209;NOD2;ATP6V0D1;FCGR2C;MAPK12;HLA-DQB1
